metric,value,interpretation
alb2002_minimum_recipe_promotion_oop_skip_value_inclusion_ready_rows,0,ALB_2002 OOP inclusion-scope rows accepted by the skip-value audit; intentionally zero.
alb2002_minimum_recipe_promotion_oop_skip_value_decision,documented_alb2002_oop_skipped_values_zero_only_but_oop_policy_not_ready,Current ALB_2002 OOP skip-value decision observed by the minimum recipe packet.
alb2002_minimum_recipe_promotion_access_need_policy_rows,24,ALB_2002 access/need denominator policy rows observed upstream.
alb2002_minimum_recipe_promotion_access_need_q01_need_rows,3247,ALB_2002 q01 need-denominator rows observed upstream.
alb2002_minimum_recipe_promotion_access_need_any_barrier_rows,1861,ALB_2002 composite any-access-barrier candidate rows observed upstream.
alb2002_minimum_recipe_promotion_access_need_outcome_ready_rows,0,ALB_2002 access/need rows ready for outcome promotion; intentionally zero.
alb2002_minimum_recipe_promotion_access_candidate_household_rows,3599,ALB_2002 temp-only household access candidate rows observed upstream.
alb2002_minimum_recipe_promotion_access_candidate_any_barrier_rows,1861,ALB_2002 temp-only composite any-access-barrier candidate rows observed upstream.
alb2002_minimum_recipe_promotion_access_candidate_cost_barrier_rows,1661,ALB_2002 temp-only composite cost-barrier candidate rows observed upstream.
alb2002_minimum_recipe_promotion_access_candidate_outcome_ready_rows,0,ALB_2002 household access candidate rows ready for final outcome promotion; intentionally zero.
alb2002_minimum_recipe_promotion_uhc_composite_rows,3599,ALB_2002 temp-only composite UHC candidate rows observed upstream.
alb2002_minimum_recipe_promotion_uhc_composite_che10_or_access_rows,2004,ALB_2002 temp-only CHE10-or-access candidate rows observed upstream.
alb2002_minimum_recipe_promotion_uhc_composite_che25_or_access_rows,1889,ALB_2002 temp-only CHE25-or-access candidate rows observed upstream.
alb2002_minimum_recipe_promotion_uhc_composite_both_che10_access_rows,681,ALB_2002 temp-only both CHE10 and access-barrier candidate rows observed upstream.
alb2002_minimum_recipe_promotion_uhc_composite_coping_rows,1476,ALB_2002 temp-only health-cost coping candidate rows observed upstream.
alb2002_minimum_recipe_promotion_uhc_composite_outcome_ready_rows,0,ALB_2002 composite UHC candidate rows ready for final outcome promotion; intentionally zero.
alb2002_minimum_recipe_promotion_consumption_sdg_policy_rows,14,ALB_2002 consumption/SDG denominator policy rows observed upstream.
alb2002_minimum_recipe_promotion_consumption_sdg_positive_total_rows,3599,ALB_2002 positive total-consumption denominator rows observed upstream.
alb2002_minimum_recipe_promotion_consumption_aggregate_crosswalk_rows,11,ALB_2002 consumption aggregate metadata/local evidence crosswalk rows observed upstream.
alb2002_minimum_recipe_promotion_consumption_aggregate_metadata_rows,0,ALB_2002 local master metadata catalog rows for the aggregate audit.
alb2002_minimum_recipe_promotion_consumption_aggregate_totcons_match_rows,3599,ALB_2002 candidate total-consumption rows exactly matching raw `totcons`.
alb2002_minimum_recipe_promotion_consumption_aggregate_documentation_ready_rows,9,ALB_2002 rows with accepted public aggregate documentation.
alb2002_minimum_recipe_promotion_consumption_aggregate_recipe_ready_rows,0,ALB_2002 aggregate crosswalk rows ready for recipe promotion; intentionally zero.
alb2002_minimum_recipe_promotion_consumption_aggregate_outcome_ready_rows,0,ALB_2002 aggregate crosswalk rows ready for outcome promotion; intentionally zero.
alb2002_minimum_recipe_promotion_consumption_aggregate_sdg382_ready_rows,0,ALB_2002 aggregate crosswalk rows ready for SDG 3.8.2 promotion; intentionally zero.
alb2002_minimum_recipe_promotion_consumption_sdg_spl_ready_rows,0,ALB_2002 consumption/SDG rows with SPL inputs accepted; intentionally zero.
alb2002_minimum_recipe_promotion_consumption_sdg_ppp_cpi_ready_rows,0,ALB_2002 consumption/SDG rows with PPP/CPI inputs accepted; intentionally zero.
alb2002_minimum_recipe_promotion_consumption_sdg_discretionary_ready_rows,0,ALB_2002 rows with household discretionary budget accepted; intentionally zero.
alb2002_minimum_recipe_promotion_consumption_sdg_che_ready_rows,0,ALB_2002 rows with CHE denominator accepted; intentionally zero.
alb2002_minimum_recipe_promotion_consumption_sdg_outcome_ready_rows,0,ALB_2002 consumption/SDG rows ready for outcome promotion; intentionally zero.
alb2002_minimum_recipe_promotion_consumption_sdg_sdg382_ready_rows,0,ALB_2002 consumption/SDG rows ready for SDG 3.8.2 promotion; intentionally zero.
alb2002_minimum_recipe_promotion_harmonized_ready_rows,0,Rows ready for harmonized dataset promotion after this packet; intentionally zero.
alb2002_minimum_recipe_promotion_outcome_ready_rows,0,Existing ALB_2002 outcome-ready rows observed from raw semantics audits.
alb2002_minimum_recipe_promotion_sdg382_ready_rows,0,Existing ALB_2002 SDG 3.8.2-ready rows observed from raw semantics audits.
alb2002_minimum_recipe_promotion_climate_shock_rows,384,ALB_2002 temp-only climate shock diagnostic rows observed upstream.
alb2002_minimum_recipe_promotion_climate_shock_reference_groups,16,ALB_2002 survey-month/window diagnostic climate shock reference groups.
alb2002_minimum_recipe_promotion_climate_shock_precip_z_rows,384,ALB_2002 diagnostic rainfall z-score rows observed upstream.
alb2002_minimum_recipe_promotion_climate_shock_temp_z_rows,384,ALB_2002 diagnostic temperature z-score rows observed upstream.
alb2002_minimum_recipe_promotion_climate_shock_combined_stress_rows,73,ALB_2002 diagnostic combined climate-stress rows; not accepted treatment variables.
alb2002_minimum_recipe_promotion_climate_shock_climate_ready_rows,0,ALB_2002 shock diagnostic rows ready for climate linkage; intentionally zero.
alb2002_minimum_recipe_promotion_climate_shock_data_write_ready_rows,0,ALB_2002 shock diagnostic rows allowed for data/ write; intentionally zero.
alb2002_minimum_recipe_promotion_climate_outcome_linked_rows,14396,ALB_2002 temp-only household-window climate/outcome linked candidate rows observed upstream.
alb2002_minimum_recipe_promotion_climate_outcome_linked_households,3599,ALB_2002 households represented in the linked diagnostic candidate.
alb2002_minimum_recipe_promotion_climate_outcome_linked_windows,4,Diagnostic exposure windows per household in the linked candidate.
alb2002_minimum_recipe_promotion_climate_outcome_linked_precip_z_rows,14396,ALB_2002 linked diagnostic rainfall z-score rows.
alb2002_minimum_recipe_promotion_climate_outcome_linked_temp_z_rows,14396,ALB_2002 linked diagnostic temperature z-score rows.
alb2002_minimum_recipe_promotion_climate_outcome_linked_combined_stress_rows,3092,ALB_2002 linked diagnostic combined climate-stress rows; not accepted treatment variables.
alb2002_minimum_recipe_promotion_climate_outcome_linked_climate_ready_rows,0,ALB_2002 linked rows ready for promoted climate linkage; intentionally zero.
alb2002_minimum_recipe_promotion_climate_outcome_linked_data_write_ready_rows,0,ALB_2002 linked rows allowed for data/ write; intentionally zero.
alb2002_minimum_recipe_promotion_climate_linkage_ready_rows,0,Existing ALB_2002 climate-linkage-ready rows observed from geography audits.
alb2002_minimum_recipe_promotion_current_decision,blocked_alb2002_minimum_recipe_not_ready_for_promotion,Current fail-closed ALB_2002 minimum recipe promotion decision.
