requirement_id,objective_section,requirement,status,evidence,evidence_artifacts,gap
cross_phase_first_batch_official_raw_access_probe,phase2,Probe official first-batch get-microdata pages for visible access gates and candidate direct links without downloading raw files or bypassing terms.,satisfied,probe rows=10; summary rows=6; access gate rows=10; possible direct raw routes=0; manual action required rows=10,temp/first_batch_official_raw_access_probe.csv;result/first_batch_official_raw_access_summary.csv;report/first_batch_official_raw_access_probe.md,
cross_phase_first_batch_manual_download_handoff,phase2,"Provide a concrete per-dataset manual-download handoff when automated raw access is blocked by account, registration, request, or terms workflows.",satisfied,handoff rows=10; file queue rows=143; summary rows=12; manual required rows=9; raw-ready rows=1,temp/first_batch_manual_download_handoff.csv;temp/first_batch_manual_download_file_queue.csv;result/first_batch_manual_download_handoff_summary.csv;report/first_batch_manual_download_handoff.md,
cross_phase_first_batch_public_documentation_audit,phase2,"Save first-batch public catalogs, metadata exports, data dictionaries, PDF documentation, and related-material snapshots before raw microdata access.",satisfied,documentation rows=60; summary rows=16; saved/reused rows=58; failed rows=2,temp/first_batch_public_documentation_audit.csv;result/first_batch_public_documentation_summary.csv;report/first_batch_public_documentation_audit.md,
cross_phase_first_batch_file_source_traceability,phase2,Trace each first-batch manual-download file target to public schema files and candidate variable metadata before raw download.,satisfied,trace rows=143; summary rows=8; supported rows=143; unsupported rows=0,temp/first_batch_file_source_traceability.csv;result/first_batch_file_source_traceability_summary.csv;report/first_batch_file_source_traceability.md,
cross_phase_first_batch_merge_key_lineage_plan,phase3,"Map candidate household/person keys, survey design variables, timing variables, geography variables, and file lineage before raw harmonization.",satisfied,plan rows=10; candidate rows=5112; summary rows=18; planned rows=8; raw-ready rows=1,temp/first_batch_merge_key_lineage_plan.csv;temp/first_batch_merge_key_candidate_variables.csv;result/first_batch_merge_key_lineage_summary.csv;report/first_batch_merge_key_lineage_plan.md,
cross_phase_first_batch_raw_value_key_audit,phase3,Read observed raw values and file-level key cardinality for raw-ready first-batch datasets before any harmonization recipe promotion.,satisfied,value rows=535; value read-ok rows=176; key rows=56; key read-ok rows=56; auto value rows=431; auto ready-for-recipe rows=0,temp/first_batch_raw_value_key_audit.csv;temp/first_batch_raw_merge_key_audit.csv;temp/first_batch_harmonization_value_audit_auto.csv;result/first_batch_raw_value_key_summary.csv;report/first_batch_raw_value_key_audit.md,
cross_phase_alb2002_household_core_merge_audit,phase3,"Build a temp-only ALB_2002 household core candidate with observed raw timing/geography evidence, and keep it out of data until outcome semantics and climate crosswalk pass.",satisfied,candidate rows=3599; merge audit rows=7; lineage rows=7; summary rows=34; recipe-ready rows=0,temp/alb2002_household_core_candidate.csv;temp/alb2002_household_core_merge_audit.csv;temp/alb2002_household_core_lineage.csv;result/alb2002_household_core_candidate_summary.csv;report/alb2002_household_core_merge_audit.md,
cross_phase_alb2002_provisional_outcome_feasibility,phase4,"Compute ALB_2002 provisional outcome event-rate diagnostics only after raw household-core assembly, and keep all final outcome promotion blocked.",satisfied,audit rows=30; summary rows=14; ready rows=0,temp/alb2002_provisional_outcome_feasibility_audit.csv;result/alb2002_provisional_outcome_feasibility_summary.csv;report/alb2002_provisional_outcome_feasibility.md,
cross_phase_alb2002_outcome_semantics_raw_value_audit,phase4,"Audit ALB_2002 raw health-module labels, values, recall periods, units, and skip-pattern blockers before any final OOP/access outcome promotion.",satisfied,audit rows=42; summary rows=13; OOP candidate rows=25; access candidate rows=8; conditional reason rows=3; outcome-ready rows=0; SDG382-ready rows=0,temp/alb2002_outcome_semantics_raw_value_audit.csv;result/alb2002_outcome_semantics_raw_value_summary.csv;report/alb2002_outcome_semantics_raw_value_audit.md,
cross_phase_alb2002_health_questionnaire_semantics_audit,phase4,"Audit ALB_2002 health questionnaire text and raw skip paths for payment unit, recall-period, gift scope, access-barrier code, and zero/missing semantics before outcome promotion.",satisfied,rows=65; OOP item rows=25; gift rows=6; NEW LEKS rows=31; four-week OOP rows=17; twelve-month OOP rows=8; positive skipped-payment rows=0; outcome-ready rows=0; SDG382-ready rows=0; climate-linkage-ready rows=0; decision=blocked_alb2002_questionnaire_semantics_seen_but_outcome_not_ready,temp/alb2002_health_questionnaire_semantics_audit.csv;result/alb2002_health_questionnaire_semantics_summary.csv;report/alb2002_health_questionnaire_semantics_audit.md,
cross_phase_alb2002_oop_aggregation_policy_audit,phase4,Audit ALB_2002 OOP aggregation policy variants and CHE stress-test rates before promoting financial-protection outcomes.,satisfied,policy rows=11; core 4w match rows=3599; core 12m match rows=3599; outcome-ready rows=0; recipe-ready rows=0; SDG382-ready rows=0; climate-linkage-ready rows=0; decision=blocked_alb2002_oop_aggregation_policy_stress_test_not_outcome_ready,temp/alb2002_oop_aggregation_policy_audit.csv;result/alb2002_oop_aggregation_policy_summary.csv;report/alb2002_oop_aggregation_policy_audit.md,
cross_phase_alb2002_skip_missing_semantics_audit,phase4,Audit ALB_2002 skipped payment zero/missing semantics before any OOP or access outcome promotion.,satisfied,rows=12; payment blocks=7; access condition blocks=5; positive skipped-payment rows=0; zero skipped-payment cells=11; positive skipped-payment cells=0; outcome-ready rows=0; recipe-ready rows=0; SDG382-ready rows=0; climate-linkage-ready rows=0; decision=blocked_alb2002_skip_missing_semantics_seen_but_recipe_not_ready,temp/alb2002_skip_missing_semantics_audit.csv;result/alb2002_skip_missing_semantics_summary.csv;report/alb2002_skip_missing_semantics_audit.md,
cross_phase_alb2002_oop_skip_value_decision_audit,phase4,Document the ALB_2002 skipped-payment no-positive-leakage decision before narrowing the OOP aggregation blocker.,satisfied,audit rows=5; summary rows=19; decision rows=5; payment blocks=7; access condition blocks=5; nonmissing skipped rows=11; nonmissing skipped cells=11; zero skipped cells=11; positive skipped rows=0; positive skipped cells=0; zero-skip ready rows=4; recall-ready rows=0; inclusion-ready rows=0; recipe-ready rows=0; outcome-ready rows=0; SDG382-ready rows=0; climate-linkage-ready rows=0; decision=documented_alb2002_oop_skipped_values_zero_only_but_oop_policy_not_ready,temp/alb2002_oop_skip_value_decision_audit.csv;result/alb2002_oop_skip_value_decision_summary.csv;report/alb2002_oop_skip_value_decision_audit.md,
cross_phase_alb2002_access_need_denominator_policy_audit,phase4,Audit ALB_2002 access and health-need denominator policies before promoting forgone-care or double-failure outcomes.,satisfied,rows=24; households=3599; q01 need rows=3247; person need rows=2202; delayed rows=144; referral-not-gone rows=161; refused rows=68; composite any-access-barrier rows=1861; low-event rows=3; outcome-ready rows=0; recipe-ready rows=0; SDG382-ready rows=0; climate-linkage-ready rows=0; decision=blocked_alb2002_access_need_denominator_policy_not_outcome_ready,temp/alb2002_access_need_denominator_policy_audit.csv;result/alb2002_access_need_denominator_policy_summary.csv;report/alb2002_access_need_denominator_policy_audit.md,
cross_phase_alb2002_consumption_sdg_denominator_policy_audit,phase4,"Audit ALB_2002 total-consumption, CHE, and SDG 3.8.2 denominator policy before promoting financial-protection outcomes.",satisfied,rows=14; households=3599; positive total rows=3599; positive weight rows=3599; positive household-size rows=3599; SPL-ready rows=0; PPP/CPI-ready rows=0; discretionary-budget-ready rows=0; CHE-denominator-ready rows=0; recipe-ready rows=0; outcome-ready rows=0; SDG382-ready rows=0; climate-linkage-ready rows=0; decision=blocked_alb2002_consumption_sdg_denominator_policy_not_sdg_ready,temp/alb2002_consumption_sdg_denominator_policy_audit.csv;result/alb2002_consumption_sdg_denominator_policy_summary.csv;report/alb2002_consumption_sdg_denominator_policy_audit.md,
cross_phase_alb2002_consumption_construction_source_audit,phase4,"Use public ALB_2002 IHSN PDF, Stata code, and metadata JSON to document the total-budget denominator variant before any outcome promotion.",satisfied,audit rows=9; summary rows=15; source rows=9; public PDF=1; program ZIP=1; do-file rows=19; totcons.do=1; poverty.do=1; metadata JSON=1; documentation-ready rows=9; released-variable-mapping rows=3; denominator-variant rows=8; recipe-ready rows=0; outcome-ready rows=0; SDG382-ready rows=0; climate-linkage-ready rows=0; decision=documented_alb2002_consumption_aggregate_but_not_outcome_sdg_climate_ready,temp/alb2002_consumption_construction_source_audit.csv;result/alb2002_consumption_construction_source_summary.csv;report/alb2002_consumption_construction_source_audit.md,
cross_phase_alb2002_consumption_aggregate_metadata_crosswalk_audit,phase4,Crosswalk ALB_2002 raw `totcons` evidence against public source documentation before accepting it as a documented total-budget candidate.,satisfied,audit rows=11; summary rows=20; evidence rows=11; local poverty rows=3599; metadata catalog rows=0; raw totcons positive rows=3599; candidate totcons match rows=3599; questionnaire aggregate-formula hits=0; construction-source rows=9; construction do-file rows=19; metadata unit/period ready rows=8; documentation-ready rows=9; released-variable-mapping rows=3; denominator-variant rows=8; recipe-ready rows=0; outcome-ready rows=0; SDG382-ready rows=0; climate-linkage-ready rows=0; decision=documented_alb2002_consumption_aggregate_but_not_outcome_sdg_climate_ready,temp/alb2002_consumption_aggregate_metadata_crosswalk_audit.csv;result/alb2002_consumption_aggregate_metadata_crosswalk_summary.csv;report/alb2002_consumption_aggregate_metadata_crosswalk_audit.md,
cross_phase_alb2002_period_aligned_che_policy_audit,phase4,Align ALB_2002 four-week and twelve-month OOP candidates to the documented monthly total-budget denominator before any CHE outcome promotion.,satisfied,audit rows=3; summary rows=17; policy rows=3; household rows=3599; denominator rows=3599; period-alignment-ready rows=3; combined CHE10=0.228952; combined CHE25=0.0805779; outcome-ready rows=0; recipe-ready rows=0; SDG382-ready rows=0; climate-linkage rows=0; decision=blocked_alb2002_period_aligned_che_policy_not_outcome_ready,temp/alb2002_period_aligned_che_policy_audit.csv;result/alb2002_period_aligned_che_policy_summary.csv;report/alb2002_period_aligned_che_policy_audit.md,
cross_phase_alb2002_che_candidate_outcome_construction,phase4,Construct temp-only household-level ALB_2002 CHE10/CHE25 candidates from the period-aligned combined OOP policy while keeping final outcome promotion blocked.,satisfied,household rows=3599; lineage rows=6; audit rows=4; denominator rows=3599; CHE10 rows=824; CHE10 rate=0.228952; CHE25 rows=290; CHE25 rate=0.0805779; outcome-promotion-ready rows=0; climate-ready rows=0; decision=blocked_alb2002_che_candidate_not_promoted_due_recipe_sdg_climate_gates,temp/alb2002_che_candidate_household_outcomes.csv;temp/alb2002_che_candidate_outcome_lineage.csv;result/alb2002_che_candidate_outcome_audit.csv;result/alb2002_che_candidate_outcome_summary.csv;report/alb2002_che_candidate_outcome_audit.md,
cross_phase_alb2002_access_candidate_outcome_construction,phase4,"Construct temp-only household-level ALB_2002 access, need, barrier, and composite candidates while keeping final access outcome promotion blocked.",satisfied,household rows=3599; lineage rows=8; audit rows=13; q01 need rows=3247; person-need rows=2202; q01 cost rows=1623; composite cost rows=1661; composite any rows=1861; outcome-promotion-ready rows=0; recipe-ready rows=0; climate-ready rows=0; decision=blocked_alb2002_access_candidate_not_promoted_due_denominator_skip_climate_gates,temp/alb2002_access_candidate_household_outcomes.csv;temp/alb2002_access_candidate_outcome_lineage.csv;result/alb2002_access_candidate_outcome_audit.csv;result/alb2002_access_candidate_outcome_summary.csv;report/alb2002_access_candidate_outcome_audit.md,
cross_phase_alb2002_uhc_composite_candidate_outcome_construction,phase4,"Construct temp-only household-level ALB_2002 UHC double-failure, financial-only, access-only, both-failure, and coping candidates while keeping final composite outcome promotion blocked.",satisfied,household rows=3599; lineage rows=6; audit rows=10; CHE10-or-access rows=2004; CHE25-or-access rows=1889; both CHE10/access rows=681; coping rows=1476; outcome-promotion-ready rows=0; recipe-ready rows=0; climate-ready rows=0; decision=blocked_alb2002_uhc_composite_candidate_not_promoted_due_outcome_recipe_climate_gates,temp/alb2002_uhc_composite_candidate_outcomes.csv;temp/alb2002_uhc_composite_candidate_lineage.csv;result/alb2002_uhc_composite_candidate_audit.csv;result/alb2002_uhc_composite_candidate_summary.csv;report/alb2002_uhc_composite_candidate_audit.md,
cross_phase_alb2002_joined_analysis_candidate_dataset,phase3_phase4_phase5,"Join ALB_2002 household core, timing, weights, admin geography, access signals, and temp CHE candidates into one temp-only analysis-candidate dataset while keeping harmonized/outcome/climate promotion blocked.",satisfied,candidate rows=3599; lineage rows=6; audit rows=12; columns=49; complete candidate gates=9; missing gates=1; blocked promotion gates=2; harmonized-ready rows=0; outcome-promotion-ready rows=0; climate-ready rows=0; data-write-ready rows=0; decision=blocked_alb2002_analysis_candidate_not_promoted_due_recipe_outcome_climate_gates,temp/alb2002_analysis_candidate_dataset.csv;temp/alb2002_analysis_candidate_lineage.csv;result/alb2002_analysis_candidate_readiness_audit.csv;result/alb2002_analysis_candidate_readiness_summary.csv;report/alb2002_analysis_candidate_readiness_audit.md,
cross_phase_alb2002_climate_centroid_exposure_stress_test,phase5,Compute temp-only ALB_2002 district-month climate exposure stress-test summaries at candidate ADM2 centroids without promoting climate linkage.,satisfied,input rows=96; exposure rows=384; API manifest rows=36; audit rows=5; districts=36; households covered=3599; API failed rows=0; precip nonmissing rows=384; temp nonmissing rows=384; boundary year=2013; climate-ready rows=0; data-write-ready rows=0; decision=blocked_alb2002_climate_centroid_exposures_not_promoted_due_boundary_vintage_source_and_baseline_gates,temp/alb2002_climate_centroid_exposure_input.csv;temp/alb2002_climate_centroid_exposure_candidates.csv;temp/alb2002_climate_centroid_nasa_power_api_manifest.csv;result/alb2002_climate_centroid_exposure_audit.csv;result/alb2002_climate_centroid_exposure_summary.csv;report/alb2002_climate_centroid_exposure_audit.md,
cross_phase_alb2002_climate_shock_candidate_diagnostics,phase5,Derive temp-only within-candidate ALB_2002 rainfall and temperature shock diagnostics without treating them as historical anomalies or accepted treatment variables.,satisfied,shock rows=384; lineage rows=7; audit rows=8; source centroid rows=384; reference groups=16; min group size=3; precip z rows=384; temp z rows=384; low-rain rows=37; extreme-wet rows=44; extreme-heat rows=29; combined-stress rows=73; climate-ready rows=0; data-write-ready rows=0; decision=blocked_alb2002_climate_shock_candidate_not_promoted_due_geography_baseline_primary_source_gates,temp/alb2002_climate_shock_candidate_exposures.csv;temp/alb2002_climate_shock_candidate_lineage.csv;result/alb2002_climate_shock_candidate_audit.csv;result/alb2002_climate_shock_candidate_summary.csv;report/alb2002_climate_shock_candidate_audit.md,
cross_phase_alb2002_climate_outcome_linked_candidate,phase5_phase6,Mechanically join ALB_2002 temp household/outcome candidates to diagnostic climate-window rows while keeping the climate-linked analytical dataset blocked from promotion.,satisfied,linked rows=14396; lineage rows=7; audit rows=7; households=3599; windows=4; district-month cells=96; expected rows=14396; unmatched rows=0; precip z rows=14396; temp z rows=14396; combined stress rows=3092; CHE10-or-access rows=8016; CHE25-or-access rows=7556; climate-ready rows=0; outcome-ready rows=0; data-write-ready rows=0; decision=blocked_alb2002_climate_outcome_linked_candidate_not_promoted_due_recipe_outcome_geography_source_baseline_gates,temp/alb2002_climate_outcome_linked_candidate.csv;temp/alb2002_climate_outcome_linked_candidate_lineage.csv;result/alb2002_climate_outcome_linked_candidate_audit.csv;result/alb2002_climate_outcome_linked_candidate_summary.csv;report/alb2002_climate_outcome_linked_candidate_audit.md,
