download_priority_order,queue_role,country,wave,idno,requirement,semantics_variable_rows,raw_profile_variable_rows,utility_profile_variable_rows,ddi_documented_variable_rows,variables_with_categories,variables_with_valid_ranges,documentation_recall_periods,documentation_units_or_scales,documentation_missing_code_variables,documentation_skip_pattern_variables,documentation_level_evidence,study_level_evidence,semantics_requirement_status,remaining_manual_review
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,health_need_and_access,9,9,0,0,0,0,,money_amount_local_currency_needs_malawi_kwacha_confirmation,costid; hh_d12_1; hh_d12_2; hh_g03_5,costid; hh_d02; hh_d12_1; hh_d12_2; hh_d13; hh_d38; hh_g03_5,,,semantics_review_available_not_value_verified,review PDF/questionnaire wording and fill acceptance fields before any raw-value verification or promotion
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,household_person_keys,16,11,5,0,0,0,,year,,,requires_secondary_member_or_item_key; unique_at_file_level,,semantics_review_available_not_value_verified,review PDF/questionnaire wording and fill acceptance fields before any raw-value verification or promotion
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,missing_codes_units_recall_skip_patterns,69,56,13,0,0,0,past_12_months,money_amount_local_currency_needs_malawi_kwacha_confirmation; money_amount_local_currency_needs_malawi_kwacha_confirmation; month; month; survey_weight; unit_variable; year,costid; ea; hh_c08; hh_d12_1; hh_d12_2; hh_g03_5; id_04; itemcode,costid; hh_c08; hh_c10; hh_c30; hh_d02; hh_d05_1; hh_d05_2; hh_d07; hh_d08; hh_d09; hh_d12_1; hh_d12_2; hh_d13; hh_d15; hh_d29_1; hh_d38; hh_e44; hh_e67; hh_e68; hh_g03_5; hh_l01_2; hh_l02,geography_linkage_candidate_not_coordinates; requires_secondary_member_or_item_key; unique_at_file_level,,semantics_review_available_not_value_verified,review PDF/questionnaire wording and fill acceptance fields before any raw-value verification or promotion
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,oop_health_expenditure,8,8,0,0,0,0,,money_amount_local_currency_needs_malawi_kwacha_confirmation,,hh_d05_1; hh_d05_2; hh_d07; hh_d08; hh_d09; hh_d13; hh_d15; hh_d29_1,,,semantics_review_available_not_value_verified,review PDF/questionnaire wording and fill acceptance fields before any raw-value verification or promotion
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,survey_timing,10,10,0,0,0,0,past_12_months,money_amount_local_currency_needs_malawi_kwacha_confirmation; money_amount_local_currency_needs_malawi_kwacha_confirmation; month; month; year,hh_c08,hh_c08; hh_c10; hh_c30; hh_d05_1; hh_d05_2; hh_e44; hh_e67; hh_e68,,,semantics_review_available_not_value_verified,review PDF/questionnaire wording and fill acceptance fields before any raw-value verification or promotion
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,weights_and_design,11,8,3,0,0,0,,survey_weight,id_04,,,,semantics_review_available_not_value_verified,review PDF/questionnaire wording and fill acceptance fields before any raw-value verification or promotion
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,climate_geography,14,12,2,0,0,0,,,ag_a04_1; hh_a04_1; lf_a04_1,ag_a04_1; hh_a04_1; lf_a04_1,geography_linkage_candidate_not_coordinates,,semantics_review_available_not_value_verified,review PDF/questionnaire wording and fill acceptance fields before any raw-value verification or promotion
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,consumption_or_income,12,12,0,0,0,0,past_12_months,money_amount_local_currency_needs_malawi_kwacha_confirmation; month,itemcode,hh_k01; hh_k02; hh_k03; hh_l01; hh_l02; hh_l03,,,semantics_review_available_not_value_verified,review PDF/questionnaire wording and fill acceptance fields before any raw-value verification or promotion
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,health_need_and_access,12,12,0,0,0,0,,money_amount_local_currency_needs_malawi_kwacha_confirmation,ag11_05; costcode; hh_d12_1; hh_d12_2; hh_g03_5,ag11_05; cm_b02; costcode; hh_d02; hh_d12_1; hh_d12_2; hh_d13; hh_d23; hh_g03_5,,,semantics_review_available_not_value_verified,review PDF/questionnaire wording and fill acceptance fields before any raw-value verification or promotion
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,household_person_keys,12,12,0,0,0,0,,,,,,,semantics_review_available_not_value_verified,review PDF/questionnaire wording and fill acceptance fields before any raw-value verification or promotion
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,missing_codes_units_recall_skip_patterns,86,84,2,0,0,0,past_12_months; past_4_weeks,money_amount_local_currency_needs_malawi_kwacha_confirmation; month; survey_weight; year,ag11_05; ag_a04_1; cm_g_weight2; costcode; hh_a04_1; hh_d03_1; hh_d03_2; hh_d12_1; hh_d12_2; hh_d20; hh_g03_5; id_04; itemcode; lf_a04_1,ag11_05; ag12a_07; ag_a04_1; ag_a12_1; ag_a13; cm_b02; cm_g_weight; cm_g_weight2; costcode; hh_a04_1; hh_d01; hh_d02; hh_d03_1; hh_d03_2; hh_d05_1; hh_d05_2; hh_d07; hh_d08; hh_d09; hh_d12_1; hh_d12_2; hh_d13; hh_d15; hh_d20; hh_d23; hh_g03_5; hh_k01; hh_k02; hh_k03; hh_l01; hh_l02; hh_l03; lf_a04_1; lf_a13,geography_linkage_candidate_not_coordinates,,semantics_review_available_not_value_verified,review PDF/questionnaire wording and fill acceptance fields before any raw-value verification or promotion
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,oop_health_expenditure,12,12,0,0,0,0,past_4_weeks,money_amount_local_currency_needs_malawi_kwacha_confirmation; year,hh_d03_1; hh_d03_2; hh_d20,hh_d01; hh_d02; hh_d03_1; hh_d03_2; hh_d05_1; hh_d05_2; hh_d07; hh_d08; hh_d09; hh_d13; hh_d15; hh_d20,,,semantics_review_available_not_value_verified,review PDF/questionnaire wording and fill acceptance fields before any raw-value verification or promotion
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,survey_timing,12,12,0,0,0,0,past_12_months,month,,ag12a_07; ag_a12_1; ag_a13; lf_a13,,,semantics_review_available_not_value_verified,review PDF/questionnaire wording and fill acceptance fields before any raw-value verification or promotion
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,weights_and_design,12,12,0,0,0,0,,survey_weight,ag_a04_1; cm_g_weight2; hh_a04_1; id_04; lf_a04_1,ag_a04_1; cm_g_weight; cm_g_weight2; hh_a04_1; lf_a04_1,,,semantics_review_available_not_value_verified,review PDF/questionnaire wording and fill acceptance fields before any raw-value verification or promotion
