download_priority_order,queue_role,country,wave,idno,requirement,candidate_variable_rows,strong_candidate_variable_rows,candidate_file_rows,top_file_names,coverage_status,raw_value_verification_status,promotion_guardrail
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,consumption_or_income,12,12,2,cons_agg_w4.dta;sect7a_hh_w4.dta,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,oop_health_expenditure,12,12,2,sect8_3_ls_w4.dta;sect3_hh_w4.dta,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,health_need_and_access,12,12,2,sect04_com_w4.dta;sect3_hh_w4.dta,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,survey_timing,12,9,7,sect_cover_ph_w4.dta;sect_cover_pp_w4.dta;sect_cover_ls_w4.dta;sect_cover_hh_w4.dta;sect12b1_hh_w4.dta;ETH_HouseholdGeovariables_Y4.dta;sect15b_hh_w4.dta,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,climate_geography,12,12,6,sect_cover_ph_w4.dta;sect_cover_pp_w4.dta;sect_cover_ls_w4.dta;sect3_pp_w4.dta;sect10a_com_w4.dta;sect_cover_hh_w4.dta,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
2,core_selected_lsms_isa_aligned,Ethiopia,2018-2019,ETH_2018_ESS_v04_M,missing_codes_units_recall_skip_patterns,0,0,0,,documentation_and_raw_review_required_no_variable_shortlist,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,household_person_keys,12,12,12,sec_b.NSDstat;sec_a.NSDstat;sec_f.NSDstat;sec_g.NSDstat;sec_h.NSDstat;sec_i.NSDstat;sec_j1.NSDstat;sec_j2.NSDstat;sec_k.NSDstat;sec_l.NSDstat,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,weights_and_design,12,12,12,sec_a.NSDstat;sec_f.NSDstat;sec_g.NSDstat;sec_h.NSDstat;sec_i.NSDstat;sec_j1.NSDstat;sec_j2.NSDstat;sec_k.NSDstat;sec_l.NSDstat;sec_m1.NSDstat,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,consumption_or_income,12,12,3,sec_i.NSDstat;sec_aa.NSDstat;sec_j1.NSDstat,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,oop_health_expenditure,12,5,1,sec_d.NSDstat,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,health_need_and_access,12,8,2,mod_d.NSDstat;sec_d.NSDstat,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,survey_timing,12,4,7,ihs2_household.NSDstat;ihs2_individ.NSDstat;sec_c.NSDstat;sec_a.NSDstat;sec_q1.NSDstat;sec_v.NSDstat;sec_z1.NSDstat,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,climate_geography,12,12,12,sec_a.NSDstat;sec_f.NSDstat;sec_g.NSDstat;sec_h.NSDstat;sec_i.NSDstat;sec_j1.NSDstat;sec_j2.NSDstat;sec_k.NSDstat;sec_l.NSDstat;sec_m1.NSDstat,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
3,core_replacement_primary,Malawi,2004-2005,MWI_2004_IHS-II_v01_M,missing_codes_units_recall_skip_patterns,0,0,0,,documentation_and_raw_review_required_no_variable_shortlist,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
4,core_selected_lsms_isa_aligned,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,household_person_keys,12,12,12,sect1_plantingw2;sect1_harvestw2;secta10_harvestw2;sect11a_plantingw2;sect11a1_plantingw2;sect12_plantingw2;HHTrack;secta_harvestw2;secta_plantingw2;sect2_plantingw2,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
4,core_selected_lsms_isa_aligned,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,weights_and_design,12,12,4,cons_agg_wave2_visit1;cons_agg_wave2_visit2;HHTrack;secta_harvestw2,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
4,core_selected_lsms_isa_aligned,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,consumption_or_income,12,12,4,cons_agg_wave2_visit1;cons_agg_wave2_visit2;sect8e_plantingw2;sect8a_plantingw2,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
4,core_selected_lsms_isa_aligned,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,oop_health_expenditure,6,6,1,sect4a_harvestw2,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
4,core_selected_lsms_isa_aligned,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,health_need_and_access,12,9,3,sect4a_harvestw2;secta7_harvestw2;sect4b_harvestw2,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
4,core_selected_lsms_isa_aligned,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,survey_timing,12,12,1,secta_harvestw2,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
4,core_selected_lsms_isa_aligned,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,climate_geography,12,4,5,NGA_HouseholdGeovars_Y2;cons_agg_wave2_visit1;cons_agg_wave2_visit2;HHTrack;secta_harvestw2,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
4,core_selected_lsms_isa_aligned,Nigeria,2012-2013,NGA_2012_GHSP-W2_v02_M,missing_codes_units_recall_skip_patterns,0,0,0,,documentation_and_raw_review_required_no_variable_shortlist,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,household_person_keys,12,12,12,sect11a_plantingw3;sect1_plantingw3;sect11a1_plantingw3;sect12_plantingw3;sect1_harvestw3;secta10_harvestw3;sect7a_plantingw3;sect7b_plantingw3;sect10b_harvestw3;HHTrack,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,weights_and_design,12,12,5,sectc1_harvestw3;sectc2_harvestw3;cons_agg_wave3_visit1;cons_agg_wave3_visit2;HHTrack,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,consumption_or_income,12,12,3,cons_agg_wave3_visit1;cons_agg_wave3_visit2;sect8a_plantingw3,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,oop_health_expenditure,6,6,1,sect4a_harvestw3,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,health_need_and_access,12,8,2,sect4a_harvestw3;sect3_plantingw3,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,survey_timing,12,12,1,secta_harvestw3,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,climate_geography,12,12,6,NGA_HouseholdGeovars_Y3;sectc1_harvestw3;sectc2_harvestw3;cons_agg_wave3_visit1;cons_agg_wave3_visit2;sect1_harvestw3,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
5,core_selected_lsms_isa_aligned,Nigeria,2015-2016,NGA_2015_GHSP-W3_v02_M,missing_codes_units_recall_skip_patterns,0,0,0,,documentation_and_raw_review_required_no_variable_shortlist,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
6,core_selected_lsms_isa_aligned,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,household_person_keys,12,12,12,secta7_harvestw1;secta8_harvestw1;secta9a1_harvestw1;secta9a2_harvestw1;secta9b1_harvestw1;secta9b2_harvestw1;secta10_harvestw1;secta41_harvestw1;secta42_harvestw1;sectaa_harvestw1,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
6,core_selected_lsms_isa_aligned,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,weights_and_design,12,4,8,cons_agg_wave1_visit1;cons_agg_wave1_visit2;NGA_HouseholdGeovariables_Y1;secta7_harvestw1;secta8_harvestw1;secta9a1_harvestw1;secta9a2_harvestw1;secta9b1_harvestw1,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
6,core_selected_lsms_isa_aligned,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,consumption_or_income,12,12,2,cons_agg_wave1_visit1;cons_agg_wave1_visit2,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
6,core_selected_lsms_isa_aligned,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,oop_health_expenditure,5,5,1,sect4a_harvestw1,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
6,core_selected_lsms_isa_aligned,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,health_need_and_access,12,8,3,sect4a_harvestw1;sect4b_harvestw1;sect3a_harvestw1,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
6,core_selected_lsms_isa_aligned,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,survey_timing,12,12,2,sectc_plantingw1;secta_harvestw1,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
6,core_selected_lsms_isa_aligned,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,climate_geography,12,12,3,NGA_HouseholdGeovariables_Y1;cons_agg_wave1_visit1;cons_agg_wave1_visit2,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
6,core_selected_lsms_isa_aligned,Nigeria,2010-2011,NGA_2010_GHSP-W1_v03_M,missing_codes_units_recall_skip_patterns,0,0,0,,documentation_and_raw_review_required_no_variable_shortlist,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
7,core_selected_lsms_isa_aligned,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,household_person_keys,12,12,11,SEC_B_C_D_E1_F_G1_U_Swahili_Labels;Agriculture SEC_1_ALL_Swahili_Labels;SEC_2A_Swahili_Labels;SEC_2B_Swahili_Labels;SEC_B_C_D_E1_F_G1_U_English_Labels;SEC_2A_English_Labels;SEC_2B_English_Labels;SEC_A_T_Swahili_Labels;SEC_A_T_English_Labels;SEC_N_Swahili_Labels,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
7,core_selected_lsms_isa_aligned,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,weights_and_design,12,12,7,nps_weights_oct2010;SEC_A_T_English_Labels;TZY1.HH.Consumption;SEC_A_T_Swahili_Labels;SECTA1A2_Swahili_Labels;SECTCB_Swahili_Labels;SECTCEFG,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
7,core_selected_lsms_isa_aligned,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,consumption_or_income,12,12,3,TZY1.HH.Consumption;SEC_L_Swahili_Labels;SEC_M_Swahili_Labels,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
7,core_selected_lsms_isa_aligned,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,oop_health_expenditure,12,12,2,SEC_B_C_D_E1_F_G1_U_English_Labels;SEC_B_C_D_E1_F_G1_U_Swahili_Labels,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
7,core_selected_lsms_isa_aligned,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,health_need_and_access,12,0,2,SEC_B_C_D_E1_F_G1_U_English_Labels;SEC_I_English_Labels,official_metadata_weak_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
7,core_selected_lsms_isa_aligned,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,survey_timing,12,3,5,SECTA1A2_English_Labels;TZY1.HH.Consumption;SEC_A_T_Swahili_Labels;SEC_R_Swahili_Labels;SEC_A_T_English_Labels,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
7,core_selected_lsms_isa_aligned,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,climate_geography,12,12,9,HH.Geovariables_Y1;SEC_A_T_Swahili_Labels;SEC_A_T_English_Labels;SECTA1A2_Swahili_Labels;SECTCB_Swahili_Labels;SECTCEFG;SECTCH;SECTCI;SECTCJ_S,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
7,core_selected_lsms_isa_aligned,Tanzania,2008-2009,TZA_2008_NPS-R1_v03_M,missing_codes_units_recall_skip_patterns,0,0,0,,documentation_and_raw_review_required_no_variable_shortlist,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,household_person_keys,12,12,11,HH_SEC_B;AG_SEC10B;AG_SEC7A;AG_SEC7B;TZY2.HH.Consumption;FS_J1;FS_J3;FS_C1;FS_E1;FS_E2,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,weights_and_design,12,12,11,TZY1.HH.Consumption;TZY2.HH.Consumption;HH_SEC_A;Plot.Geovariables_Y2;HH.Geovariables_Y2;COMSEC_CA;COMSEC_CB;COMSEC_CD;COMSEC_CE;COMSEC_CF,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,consumption_or_income,12,12,3,TZY1.HH.Consumption;TZY2.HH.Consumption;HH_SEC_L,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,oop_health_expenditure,8,8,1,HH_SEC_D,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,health_need_and_access,12,2,6,HH_SEC_D;FS_H2;FS_N2;HH_SEC_G;TZY1.HH.Consumption;TZY2.HH.Consumption,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,survey_timing,12,4,6,TZY1.HH.Consumption;TZY2.HH.Consumption;HH_SEC_A;HH_SEC_C;HH_SEC_D;HH_SEC_E1,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,climate_geography,12,12,6,TZY2.EA.Offsets;Plot.Geovariables_Y2;TZY1.HH.Consumption;TZY2.HH.Consumption;HH.Geovariables_Y2;HH_SEC_A,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
8,core_selected_lsms_isa_aligned,Tanzania,2010-2011,TZA_2010_NPS-R2_v03_M,missing_codes_units_recall_skip_patterns,0,0,0,,documentation_and_raw_review_required_no_variable_shortlist,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,household_person_keys,12,12,11,HH_SEC_B.NSDstat;AG_SEC_01.NSDstat;AG_SEC_2A.NSDstat;AG_SEC_2B.NSDstat;LF_NETWORK.NSDstat;LF_SEC_01.NSDstat;AG_SEC_08.NSDstat;AG_SEC_11.NSDstat;AG_SEC_12A.NSDstat;AG_SEC_12B.NSDstat,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,weights_and_design,12,12,6,HH_SEC_A.NSDstat;Y3_weights.NSDstat;AG_SEC_A.NSDstat;LF_SEC_A.NSDstat;COM_SEC_CG.NSDstat;COM_SEC_CD.NSDstat,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,consumption_or_income,12,12,2,HH_SEC_K.NSDstat;HH_SEC_L.NSDstat,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,oop_health_expenditure,12,12,1,HH_SEC_D.NSDstat,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,health_need_and_access,12,2,6,HH_SEC_D.NSDstat;HH_SEC_G.NSDstat;ConsumptionNPS3.NSDstat;LF_SEC_13B.NSDstat;AG_SEC_11.NSDstat;COM_SEC_CB.NSDstat,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,survey_timing,12,12,5,AG_SEC_A.NSDstat;HH_SEC_A.NSDstat;LF_SEC_A.NSDstat;AG_SEC_12A.NSDstat;COM_SEC_A1A2.NSDstat,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,climate_geography,12,12,5,AG_SEC_2A.NSDstat;AG_SEC_A.NSDstat;HH_SEC_A.NSDstat;LF_SEC_A.NSDstat;COM_SEC_A1A2.NSDstat,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
9,core_selected_lsms_isa_aligned,Tanzania,2012-2013,TZA_2012_NPS-R3_v01_M,missing_codes_units_recall_skip_patterns,0,0,0,,documentation_and_raw_review_required_no_variable_shortlist,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
10,core_replacement_primary,Uganda,2019-2020,UGA_2019_UNPS_v03_M,household_person_keys,12,12,12,GSEC2.NSDstat;GSEC15C.NSDstat;GSEC15D.NSDstat;GSEC17_1.NSDstat;GSEC19.NSDstat;GSEC1.NSDstat;GSEC7_1.NSDstat;GSEC7_2.NSDstat;GSEC9.NSDstat;GSEC10_1.NSDstat,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
10,core_replacement_primary,Uganda,2019-2020,UGA_2019_UNPS_v03_M,weights_and_design,12,12,12,CSEC1A.NSDstat;CSEC2.NSDstat;CSEC2A.NSDstat;CSEC2B.NSDstat;CSEC2C.NSDstat;CSEC2C_0.NSDstat;CSEC3_0.NSDstat;CSEC3A.NSDstat;CSEC3B.NSDstat;CSEC3C.NSDstat,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
10,core_replacement_primary,Uganda,2019-2020,UGA_2019_UNPS_v03_M,consumption_or_income,12,12,2,pov2019_20.NSDstat;GSEC15B.NSDstat,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
10,core_replacement_primary,Uganda,2019-2020,UGA_2019_UNPS_v03_M,oop_health_expenditure,12,12,3,GSEC5.NSDstat;GSEC6_1.NSDstat;GSEC6_3.NSDstat,official_metadata_strong_candidates_present_raw_review_required,not_raw_value_verified,official metadata coverage is pre-review evidence only; raw package verification remains required
