candidate_row_id,acquisition_batch_rank,batch_role,country,wave,idno,concept,required_for,candidate_files,candidate_raw_variable,candidate_harmonized_variables,template_raw_label,metadata_confidence,ddi_match_status,ddi_match_count,ddi_file_ids,ddi_file_names,ddi_file_descriptions,ddi_variable_names,ddi_variable_labels,ddi_interval,ddi_format_types,ddi_valid_counts,ddi_invalid_counts,ddi_min_values,ddi_max_values,ddi_range_units,ddi_category_count,ddi_category_preview,official_metadata_evidence_status,raw_value_verification_status,promotion_guardrail
11,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,care_or_barrier,double_failure_sample,sect3_hh_w5.dta;sect3_pp_w5.dta,s3q17,care_sought;agriculture_livelihood,17. How many nights did [NAME] spend in any health facility in last 12 months?;17.Is [FIELD] irrigated during the current agricultural season?,high,ddi_variable_and_file_match,2,F4;F49,sect3_hh_w5.dta;sect3_pp_w5.dta,Household Data - Health;Post-planting - Field roster,s3q17,17. How many nights did [NAME] spend in any health facility in last 12 months?;17.Is [FIELD] irrigated during the current agricultural season?,discrete,numeric,799;10571,21889;4307,1,365;2,REAL,49,1= (n=137); 2= (n=133); 3= (n=96); 4= (n=48); 5= (n=65); ... +44 more,official_ddi_variable_and_file_evidence_present,not_raw_value_verified,"official DDI evidence supports pre-review only; raw values, units, missing codes, skip patterns, and merge keys must still be verified from original microdata before promotion"
12,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,care_or_barrier,double_failure_sample,sect3_hh_w5.dta;sect3_pp_w5.dta,s3q18,oop_health_expenditure;care_sought;agriculture_livelihood,18. What were the total cost of [NAME]'s health consultations in last 12 months?;18.What is the arrangement of the irrigation you use in this agriculture season?,high,ddi_variable_and_file_match,2,F4;F49,sect3_hh_w5.dta;sect3_pp_w5.dta,Household Data - Health;Post-planting - Field roster,s3q18,18. What were the total cost of [NAME]'s health consultations in last 12 months?;18.What is the arrangement of the irrigation you use in this agriculture season?,discrete,numeric,7054;386,15634;14492,0;1,975000;2,REAL,5,0=0. NONE (n=1657); Sysmiss= (n=15634); 1=1. Using irrigation only (n=43); 2=2. Using irrigation as a supplement to rain water (n=343); Sysmiss= (n=14492),official_ddi_variable_and_file_evidence_present,not_raw_value_verified,"official DDI evidence supports pre-review only; raw values, units, missing codes, skip patterns, and merge keys must still be verified from original microdata before promotion"
13,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,care_or_barrier,double_failure_sample,sect8_3_ls_w5.dta,ls_s8_3q23,care_sought;agriculture_livelihood,"23.In past 12 months, did [LIVESTOCK TYPE] receive some curative treatment?",high,ddi_variable_and_file_match,1,F62,sect8_3_ls_w5.dta,"Livestock - Livestock breeding, health, shelter, water, and feed",ls_s8_3q23,"23.In past 12 months, did [LIVESTOCK TYPE] receive some curative treatment?",discrete,numeric,3970,6680,1,2,REAL,3,1=1. YES (n=373); 2=2. NO (n=3597); Sysmiss= (n=6680),official_ddi_variable_and_file_evidence_present,not_raw_value_verified,"official DDI evidence supports pre-review only; raw values, units, missing codes, skip patterns, and merge keys must still be verified from original microdata before promotion"
14,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,care_or_barrier,double_failure_sample,sect8_3_ls_w5.dta,ls_s8_3q24,oop_health_expenditure;care_sought;agriculture_livelihood,24.Total amount spent on curative treatments for [LIVESTOCK TYPE],moderate,ddi_variable_and_file_match,1,F62,sect8_3_ls_w5.dta,"Livestock - Livestock breeding, health, shelter, water, and feed",ls_s8_3q24,24.Total amount spent on curative treatments for [LIVESTOCK TYPE],contin,numeric,373,10277,0,3000,REAL,0,,official_ddi_variable_and_file_evidence_present,not_raw_value_verified,"official DDI evidence supports pre-review only; raw values, units, missing codes, skip patterns, and merge keys must still be verified from original microdata before promotion"
15,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,main_financial_sample,cons_agg_w5.dta;sect01a_com_w5.dta;sect01b_com_w5.dta;sect02_com_w5.dta;sect03_com_w5.dta;sect04_com_w5.dta;sect05_com_w5.dta;sect06_com_w5.dta;sect07_com_w5.dta;sect08_com_w5.dta;sect09_com_w5.dta;sect10_ph_w5.dta;sect10a_com_w5.dta;sec...,saq01,admin1_or_admin2,Region code,high,ddi_variable_and_file_match,20,F18;F19;F20;F21;F32;F33;F34;F35;F36;F37;F38;F39,sect10a_hh_w5.dta;sect11_hh_w5.dta;sect12a_hh_w5.dta;sect12b1_hh_w5.dta;sect01a_com_w5.dta;sect01b_com_w5.dta;sect02_com_w5.dta;sect03_com_w5.dta;sect04_com_w5.dta;sect05_com_w5.dta;sect06_com_w5.dta;sect07_com_w5.dta,Household Data - Housing;Household Data - Assets;Household Data - Nonfarm enterprises participation filter question;Household Data - Nonfarm enterprises roster;Community - Cover/ identification,saq01,Region code,discrete,numeric,4959;183483;1551;433;2335;668;4763;3464;13608;7534,,2,15,REAL,226,1=1. Tigray (n=0); 2=2. Afar (n=250); 3=3. Amhara (n=656); 4=4. Oromia (n=637); 5=5. Somalia (n=522); ... +221 more,official_ddi_variable_and_file_evidence_present,not_raw_value_verified,"official DDI evidence supports pre-review only; raw values, units, missing codes, skip patterns, and merge keys must still be verified from original microdata before promotion"
16,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,main_financial_sample,eth_householdgeovariables_y5.dta;eth_plotgeovariables_y5.dta,cropshare,admin1_or_admin2;agriculture_livelihood,2019 Percent cropland within anonymizing region,high,ddi_variable_and_file_match,2,F64;F65,eth_householdgeovariables_y5.dta;eth_plotgeovariables_y5.dta,Household geo-variables;Plot geo-variables,cropshare,2019 Percent cropland within anonymizing region,contin,numeric,4890,,0,71,REAL,0,,official_ddi_variable_and_file_evidence_present,not_raw_value_verified,"official DDI evidence supports pre-review only; raw values, units, missing codes, skip patterns, and merge keys must still be verified from original microdata before promotion"
17,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,main_financial_sample,eth_householdgeovariables_y5.dta;eth_plotgeovariables_y5.dta,dist_admhq,admin1_or_admin2,HH Distance in (KMs) to Capital of Region of Residence,high,ddi_variable_and_file_match,2,F64;F65,eth_householdgeovariables_y5.dta;eth_plotgeovariables_y5.dta,Household geo-variables;Plot geo-variables,dist_admhq,HH Distance in (KMs) to Capital of Region of Residence,discrete,numeric,4890,,0,0.600000023841858,REAL,14,0= (n=2001); 0.100000001490116= (n=1246); 0.200000002980232= (n=702); 0.300000011920929= (n=602); 0.400000005960464= (n=218); ... +9 more,official_ddi_variable_and_file_evidence_present,not_raw_value_verified,"official DDI evidence supports pre-review only; raw values, units, missing codes, skip patterns, and merge keys must still be verified from original microdata before promotion"
18,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,main_financial_sample,eth_householdgeovariables_y5.dta;eth_plotgeovariables_y5.dta,landcov,admin1_or_admin2,Majority land cover class within anonymizing region,high,ddi_variable_and_file_match,2,F64;F65,eth_householdgeovariables_y5.dta;eth_plotgeovariables_y5.dta,Household geo-variables;Plot geo-variables,landcov,Majority land cover class within anonymizing region,discrete,numeric,4890,,20,126,REAL,46,0=No input data available (n=0); 20=Shrubs (n=997); 30=Herbaceous vegetation (n=195); 40=Cropland (n=1810); 50=Built-up (n=1157); ... +41 more,official_ddi_variable_and_file_evidence_present,not_raw_value_verified,"official DDI evidence supports pre-review only; raw values, units, missing codes, skip patterns, and merge keys must still be verified from original microdata before promotion"
19,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,main_financial_sample,eth_householdgeovariables_y5.dta;eth_plotgeovariables_y5.dta,lat_dd_mod,latitude_or_longitude,Latitude Modified,high,ddi_variable_and_file_match,2,F64;F65,eth_householdgeovariables_y5.dta;eth_plotgeovariables_y5.dta,Household geo-variables;Plot geo-variables,lat_dd_mod,Latitude Modified,contin,numeric,4847,43,3.609384,13.694083,REAL,0,,official_ddi_variable_and_file_evidence_present,not_raw_value_verified,"official DDI evidence supports pre-review only; raw values, units, missing codes, skip patterns, and merge keys must still be verified from original microdata before promotion"
20,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,main_financial_sample,eth_householdgeovariables_y5.dta;eth_plotgeovariables_y5.dta,lon_dd_mod,latitude_or_longitude,Longitude Modified,high,ddi_variable_and_file_match,2,F64;F65,eth_householdgeovariables_y5.dta;eth_plotgeovariables_y5.dta,Household geo-variables;Plot geo-variables,lon_dd_mod,Longitude Modified,contin,numeric,4847,43,33.434831,47.30784,REAL,0,,official_ddi_variable_and_file_evidence_present,not_raw_value_verified,"official DDI evidence supports pre-review only; raw values, units, missing codes, skip patterns, and merge keys must still be verified from original microdata before promotion"
21,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,main_financial_sample,eth_householdgeovariables_y5.dta;eth_plotgeovariables_y5.dta,pct_urban_center,admin1_or_admin2;rural,Percent of anonymizing region classified as urban center in Degree of Urbanizati,high,ddi_variable_and_file_match,2,F64;F65,eth_householdgeovariables_y5.dta;eth_plotgeovariables_y5.dta,Household geo-variables;Plot geo-variables,pct_urban_center,Percent of anonymizing region classified as urban center in Degree of Urbanizati,contin,numeric,4890,,0,100,REAL,0,,official_ddi_variable_and_file_evidence_present,not_raw_value_verified,"official DDI evidence supports pre-review only; raw values, units, missing codes, skip patterns, and merge keys must still be verified from original microdata before promotion"
22,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,main_financial_sample,eth_householdgeovariables_y5.dta;eth_plotgeovariables_y5.dta,pct_urban_cluster,admin1_or_admin2;rural;psu_or_cluster_id,Percent of anonymizing region classified as urban cluster in Degree of Urbanizat,high,ddi_variable_and_file_match,2,F64;F65,eth_householdgeovariables_y5.dta;eth_plotgeovariables_y5.dta,Household geo-variables;Plot geo-variables,pct_urban_cluster,Percent of anonymizing region classified as urban cluster in Degree of Urbanizat,contin,numeric,4890,,0,100,REAL,0,,official_ddi_variable_and_file_evidence_present,not_raw_value_verified,"official DDI evidence supports pre-review only; raw values, units, missing codes, skip patterns, and merge keys must still be verified from original microdata before promotion"
23,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,main_financial_sample,eth_householdgeovariables_y5.dta;eth_plotgeovariables_y5.dta,ssa_aez09,admin1_or_admin2,Majority agro-ecological zones within anonymizing region,high,ddi_variable_and_file_match,2,F64;F65,eth_householdgeovariables_y5.dta;eth_plotgeovariables_y5.dta,Household geo-variables;Plot geo-variables,ssa_aez09,Majority agro-ecological zones within anonymizing region,discrete,numeric,4890,,311,324,REAL,42,101=Temperature/arid (n=0); 102=Temperature/Semi-arid (n=0); 103=Temperature/Sub-humid (n=0); 104=Temperature/humid (n=0); 211=Subtropic-warm/arid (n=0); ... +37 more,official_ddi_variable_and_file_evidence_present,not_raw_value_verified,"official DDI evidence supports pre-review only; raw values, units, missing codes, skip patterns, and merge keys must still be verified from original microdata before promotion"
24,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,main_financial_sample,eth_householdgeovariables_y5.dta;eth_plotgeovariables_y5.dta,suppress,latitude_or_longitude,Anonymized coordinates suppressed due to sparse local population density,high,ddi_variable_and_file_match,2,F64;F65,eth_householdgeovariables_y5.dta;eth_plotgeovariables_y5.dta,Household geo-variables;Plot geo-variables,suppress,Anonymized coordinates suppressed due to sparse local population density,discrete,numeric,4890,,0,1,REAL,4,0= (n=4847); 1= (n=43); 0= (n=4847); 1= (n=43),official_ddi_variable_and_file_evidence_present,not_raw_value_verified,"official DDI evidence supports pre-review only; raw values, units, missing codes, skip patterns, and merge keys must still be verified from original microdata before promotion"
25,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,main_financial_sample,eth_householdgeovariables_y5.dta;eth_plotgeovariables_y5.dta,twi_ne,admin1_or_admin2,Majority potential wetness index within anonymizing region,high,ddi_variable_and_file_match,2,F64;F65,eth_householdgeovariables_y5.dta;eth_plotgeovariables_y5.dta,Household geo-variables;Plot geo-variables,twi_ne,Majority potential wetness index within anonymizing region,discrete,numeric,4890,,0,36,REAL,16,0= (n=48); 10= (n=34); 11= (n=929); 12= (n=1750); 13= (n=1602); ... +11 more,official_ddi_variable_and_file_evidence_present,not_raw_value_verified,"official DDI evidence supports pre-review only; raw values, units, missing codes, skip patterns, and merge keys must still be verified from original microdata before promotion"
26,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,main_financial_sample,sect10a_com_w5.dta,cs10q05__Accuracy,latitude_or_longitude,5. GPS COORDINATES OF THE MARKET: ACCURACY,high,ddi_variable_and_file_match,1,F42,sect10a_com_w5.dta,Community - Market prices: market location,cs10q05__Accuracy,5. GPS COORDINATES OF THE MARKET: ACCURACY,discrete,character,433,,,,character,0,,official_ddi_variable_and_file_evidence_present,not_raw_value_verified,"official DDI evidence supports pre-review only; raw values, units, missing codes, skip patterns, and merge keys must still be verified from original microdata before promotion"
27,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,main_financial_sample,sect10a_com_w5.dta,cs10q05__Altitude,latitude_or_longitude,5. GPS COORDINATES OF THE MARKET: ALTITUDE,high,ddi_variable_and_file_match,1,F42,sect10a_com_w5.dta,Community - Market prices: market location,cs10q05__Altitude,5. GPS COORDINATES OF THE MARKET: ALTITUDE,discrete,character,433,,,,character,0,,official_ddi_variable_and_file_evidence_present,not_raw_value_verified,"official DDI evidence supports pre-review only; raw values, units, missing codes, skip patterns, and merge keys must still be verified from original microdata before promotion"
28,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,main_financial_sample,sect10a_com_w5.dta,cs10q05__Latitude,latitude_or_longitude,5. GPS COORDINATES OF THE MARKET:LATITUDE,high,ddi_variable_and_file_match,1,F42,sect10a_com_w5.dta,Community - Market prices: market location,cs10q05__Latitude,5. GPS COORDINATES OF THE MARKET:LATITUDE,discrete,character,433,,,,character,0,,official_ddi_variable_and_file_evidence_present,not_raw_value_verified,"official DDI evidence supports pre-review only; raw values, units, missing codes, skip patterns, and merge keys must still be verified from original microdata before promotion"
29,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,main_financial_sample,sect10a_com_w5.dta,cs10q05__Longitude,latitude_or_longitude,5. GPS COORDINATES OF THE MARKET: LONGITUDE,high,ddi_variable_and_file_match,1,F42,sect10a_com_w5.dta,Community - Market prices: market location,cs10q05__Longitude,5. GPS COORDINATES OF THE MARKET: LONGITUDE,discrete,character,433,,,,character,0,,official_ddi_variable_and_file_evidence_present,not_raw_value_verified,"official DDI evidence supports pre-review only; raw values, units, missing codes, skip patterns, and merge keys must still be verified from original microdata before promotion"
30,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,main_financial_sample,sect10a_com_w5.dta,cs10q05__Timestamp,latitude_or_longitude,5. GPS COORDINATES OF THE MARKET: TIMESTAMP,high,ddi_variable_and_file_match,1,F42,sect10a_com_w5.dta,Community - Market prices: market location,cs10q05__Timestamp,5. GPS COORDINATES OF THE MARKET: TIMESTAMP,discrete,character,433,,,,character,0,,official_ddi_variable_and_file_evidence_present,not_raw_value_verified,"official DDI evidence supports pre-review only; raw values, units, missing codes, skip patterns, and merge keys must still be verified from original microdata before promotion"
31,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,demographics,covariates_and_subgroups,cons_agg_w5.dta,educ_cons_ann,education,annual expenditure on education (including assistance),high,ddi_variable_and_file_match,1,F66,cons_agg_w5.dta,Household Data - Consumption aggregate,educ_cons_ann,annual expenditure on education (including assistance),contin,numeric,4959,,0,219000,REAL,0,,official_ddi_variable_and_file_evidence_present,not_raw_value_verified,"official DDI evidence supports pre-review only; raw values, units, missing codes, skip patterns, and merge keys must still be verified from original microdata before promotion"
32,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,demographics,covariates_and_subgroups,cons_agg_w5.dta,hh_size,household_size,Household Size,high,ddi_variable_and_file_match,1,F66,cons_agg_w5.dta,Household Data - Consumption aggregate,hh_size,Household Size,discrete,numeric,4959,,1,17,REAL,16,1= (n=408); 2= (n=547); 3= (n=739); 4= (n=942); 5= (n=783); ... +11 more,official_ddi_variable_and_file_evidence_present,not_raw_value_verified,"official DDI evidence supports pre-review only; raw values, units, missing codes, skip patterns, and merge keys must still be verified from original microdata before promotion"
33,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,demographics,covariates_and_subgroups,cons_agg_w5.dta,nom_educcons_aeq,education,Nominal annual expenditure on education per adult equivalent,high,ddi_variable_and_file_match,1,F66,cons_agg_w5.dta,Household Data - Consumption aggregate,nom_educcons_aeq,Nominal annual expenditure on education per adult equivalent,contin,numeric,4959,,0,82120,REAL,0,,official_ddi_variable_and_file_evidence_present,not_raw_value_verified,"official DDI evidence supports pre-review only; raw values, units, missing codes, skip patterns, and merge keys must still be verified from original microdata before promotion"
34,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,demographics,covariates_and_subgroups,sect02_com_w5.dta,cs2q03,sex,3. Sex,high,ddi_variable_and_file_match,1,F34,sect02_com_w5.dta,Community - Roster of informants,cs2q03,3. Sex,discrete,numeric,2335,,1,2,REAL,2,1=1. Male (n=1847); 2=2. Female (n=488),official_ddi_variable_and_file_evidence_present,not_raw_value_verified,"official DDI evidence supports pre-review only; raw values, units, missing codes, skip patterns, and merge keys must still be verified from original microdata before promotion"
35,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,demographics,covariates_and_subgroups,sect02_com_w5.dta,cs2q07,education,7. What is the highest educational qualification [NAME] has attained?,high,ddi_variable_and_file_match,1,F34,sect02_com_w5.dta,Community - Roster of informants,cs2q07,7. What is the highest educational qualification [NAME] has attained?,discrete,numeric,2335,,1,7,REAL,7,1=1. None/ illitrate (n=224); 2=2. Incomplete primary school (n=321); 3=3. Primary school completed (n=176); 4=4. Incomplete secondary school (n=131); 5=5. Secondary school completed (n=226); ... +2 more,official_ddi_variable_and_file_evidence_present,not_raw_value_verified,"official DDI evidence supports pre-review only; raw values, units, missing codes, skip patterns, and merge keys must still be verified from original microdata before promotion"
36,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,demographics,covariates_and_subgroups,sect04_com_w5.dta,cs4q59a,sex,"59a. If yes, what is the total share of male beneficiaries?",high,ddi_variable_and_file_match,1,F36,sect04_com_w5.dta,Community - Access to basic services and infrastructure,cs4q59a,"59a. If yes, what is the total share of male beneficiaries?",contin,numeric,242,191,0,3251,REAL,0,,official_ddi_variable_and_file_evidence_present,not_raw_value_verified,"official DDI evidence supports pre-review only; raw values, units, missing codes, skip patterns, and merge keys must still be verified from original microdata before promotion"
37,1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,demographics,covariates_and_subgroups,sect04_com_w5.dta,cs4q59b,sex,"59b. If yes, what is the total share of female beneficiaries?",high,ddi_variable_and_file_match,1,F36,sect04_com_w5.dta,Community - Access to basic services and infrastructure,cs4q59b,"59b. If yes, what is the total share of female beneficiaries?",contin,numeric,242,191,0,6494,REAL,0,,official_ddi_variable_and_file_evidence_present,not_raw_value_verified,"official DDI evidence supports pre-review only; raw values, units, missing codes, skip patterns, and merge keys must still be verified from original microdata before promotion"
