acquisition_batch_rank,batch_role,country,survey_name,wave,idno,concept,required_for,is_financial_core,is_double_failure_core,is_design_core,metadata_support_status,high_confidence_rows,moderate_confidence_rows,candidate_files,candidate_variables,minimum_raw_evidence_needed,verification_action,raw_file_status,raw_variable_status,current_concept_gate,fill_raw_file_used,fill_raw_variable_used,fill_value_label_pass,fill_unit_or_recall_pass,fill_merge_key_pass,fill_sample_level_pass,fill_missing_code_pass,fill_promote_to_harmonization_recipe,review_notes
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,survey_timing,main_financial_sample,1,0,1,metadata_supported_raw_unverified,3,0,sect_cover_ls_w5.dta;sect_cover_ph_w5.dta;sect_cover_pp_w5.dta,InterviewDate,interview date/month or documented fieldwork month for climate lags,"inspect raw values, labels, merge keys, units, recall period, and missing codes before harmonization",raw_files_not_present,raw_variable_catalog_absent,blocked_raw_file_missing,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,survey_weight,main_financial_sample,1,0,1,metadata_supported_raw_unverified,54,0,cons_agg_w5.dta;sect10_ph_w5.dta;sect10a_hh_w5.dta;sect10b_com_w5.dta;sect11_hh_w5.dta;sect11_ph_w5.dta;sect12a_hh_w5.dta;sect12b1_hh_w5.dta;sect12b2_hh_w5.dta;sect12c_hh_w5.dta,pw_w5;cs10bq04;s3q37;sccq03;sccq04,household or person survey weight appropriate to the outcome unit,"inspect raw values, labels, merge keys, units, recall period, and missing codes before harmonization",raw_files_not_present,raw_variable_catalog_absent,blocked_raw_file_missing,,,,,,,,,
1,priority_10_wave_batch,Ethiopia,Socio-Economic Panel Survey 2021-2022,2021-2022,ETH_2021_ESPS-W5_v02_M,total_consumption_or_income,main_financial_sample,1,0,0,metadata_supported_raw_unverified,2,0,sect8_2_ls_w5.dta,ls_s8_2q14;ls_s8_2q18,survey-team aggregate preferred; otherwise documented reconstruction components,"inspect raw values, labels, merge keys, units, recall period, and missing codes before harmonization",raw_files_not_present,raw_variable_catalog_absent,blocked_raw_file_missing,,,,,,,,,
2,priority_10_wave_batch,Ethiopia,Socioeconomic Survey 2018-2019,2018-2019,ETH_2018_ESS_v04_M,care_or_barrier,double_failure_sample,0,1,0,metadata_supported_raw_unverified,16,1,sect04_com_w4.dta;sect3_hh_w4.dta;sect8_3_ls_w4.dta,cs4q28;cs4q30;cs4q37;s3q10a;s3q10b;s3q11;s3q12a;s3q12b;s3q13;s3q16;s3q17;s3q18;ls_s8_3q23;ls_s8_3q24,care-seeking or reason/barrier for not seeking care,"inspect raw values, labels, merge keys, units, recall period, and missing codes before harmonization",raw_files_not_present,raw_variable_catalog_absent,blocked_raw_file_missing,,,,,,,,,
2,priority_10_wave_batch,Ethiopia,Socioeconomic Survey 2018-2019,2018-2019,ETH_2018_ESS_v04_M,climate_geography,main_financial_sample,1,0,1,metadata_supported_raw_unverified,85,9,ETH_HouseholdGeovariables_Y4.dta;ET_local_area_unit_conversion.dta;cons_agg_w4.dta;sect01a_com_w4.dta;sect01b_com_w4.dta;sect02_com_w4.dta;sect03_com_w4.dta;sect04_com_w4.dta;sect05_com_w4.dta;sect06_com_w4.dta,dist_admhq;lat_mod;lon_mod;region;saq01;cs10q05__Accuracy;cs10q05__Altitude;cs10q05__Latitude;cs10q05__Longitude;cs10q05__Timestamp;s1q12;s3q08;s3q09__Accuracy;s3q09__Altitude;s3q09__Latitude;s3q09__Longitude,"admin geography, cluster, or GPS quality sufficient for climate linkage","inspect raw values, labels, merge keys, units, recall period, and missing codes before harmonization",raw_files_not_present,raw_variable_catalog_absent,blocked_raw_file_missing,,,,,,,,,
2,priority_10_wave_batch,Ethiopia,Socioeconomic Survey 2018-2019,2018-2019,ETH_2018_ESS_v04_M,demographics,covariates_and_subgroups,0,0,0,metadata_supported_raw_unverified,87,49,cons_agg_w4.dta;sect02_com_w4.dta;sect04_com_w4.dta;sect05_com_w4.dta;sect10a_hh_w4.dta;sect10c_hh_w4.dta;sect10d2_hh_w4.dta;sect11b2_hh_w4.dta;sect1_hh_w4.dta;sect1_ph_w4.dta,educ_cons_ann;hh_size;nom_educcons_aeq;cs2q03;cs2q07;cs4q59a;cs4q59b;cs5q10;cs5q11;s10aq39;s10c_q02d;s10c_q02e;s10c_q05b;s10c_q05c;s10c_q10b;s10c_q10c,age/sex/education/household structure/assets for adjustment and heterogeneity,"inspect raw values, labels, merge keys, units, recall period, and missing codes before harmonization",raw_files_not_present,raw_variable_catalog_absent,blocked_raw_file_missing,,,,,,,,,
2,priority_10_wave_batch,Ethiopia,Socioeconomic Survey 2018-2019,2018-2019,ETH_2018_ESS_v04_M,health_need,double_failure_sample,0,1,0,metadata_supported_raw_unverified,9,0,sect3_hh_w4.dta,s3q05;s3q06_1;s3q06_2;s3q06_os;s3q07;s3q09a;s3q09b;s3q10a;s3q10b,"illness, injury, symptom, or other health-need denominator","inspect raw values, labels, merge keys, units, recall period, and missing codes before harmonization",raw_files_not_present,raw_variable_catalog_absent,blocked_raw_file_missing,,,,,,,,,
2,priority_10_wave_batch,Ethiopia,Socioeconomic Survey 2018-2019,2018-2019,ETH_2018_ESS_v04_M,household_id,harmonization,0,0,1,metadata_supported_raw_unverified,52,0,ETH_HouseholdGeovariables_Y4.dta;ETH_PlotGeovariables_Y4.dta;sect10_ph_w4.dta;sect10a_hh_w4.dta;sect10b_hh_w4.dta;sect10c_hh_w4.dta;sect10d1_hh_w4.dta;sect10d2_hh_w4.dta;sect11_hh_w4.dta;sect11_ph_w4.dta,household_id;saq08,household identifier available for module merges,"inspect raw values, labels, merge keys, units, recall period, and missing codes before harmonization",raw_files_not_present,raw_variable_catalog_absent,blocked_raw_file_missing,,,,,,,,,
2,priority_10_wave_batch,Ethiopia,Socioeconomic Survey 2018-2019,2018-2019,ETH_2018_ESS_v04_M,insurance,covariates_and_subgroups,0,0,0,metadata_supported_raw_unverified,1,0,sect3_hh_w4.dta,s3q19,"insurance or coverage variable, if available","inspect raw values, labels, merge keys, units, recall period, and missing codes before harmonization",raw_files_not_present,raw_variable_catalog_absent,blocked_raw_file_missing,,,,,,,,,
2,priority_10_wave_batch,Ethiopia,Socioeconomic Survey 2018-2019,2018-2019,ETH_2018_ESS_v04_M,oop_health_expenditure,main_financial_sample,1,0,0,metadata_supported_raw_unverified,1,10,sect3_hh_w4.dta;sect8_3_ls_w4.dta,s3q18;ls_s8_3q04;ls_s8_3q06;ls_s8_3q10a;ls_s8_3q10b;ls_s8_3q11;ls_s8_3q12_1;ls_s8_3q12_2;ls_s8_3q14;ls_s8_3q22;ls_s8_3q24,out-of-pocket health spending amount with unit and recall period,"inspect raw values, labels, merge keys, units, recall period, and missing codes before harmonization",raw_files_not_present,raw_variable_catalog_absent,blocked_raw_file_missing,,,,,,,,,
2,priority_10_wave_batch,Ethiopia,Socioeconomic Survey 2018-2019,2018-2019,ETH_2018_ESS_v04_M,psu_cluster,survey_design_robustness,0,0,1,metadata_supported_raw_unverified,126,0,ETH_HouseholdGeovariables_Y4.dta;cons_agg_w4.dta;sect01a_com_w4.dta;sect01b_com_w4.dta;sect02_com_w4.dta;sect03_com_w4.dta;sect04_com_w4.dta;sect05_com_w4.dta;sect06_com_w4.dta;sect07_com_w4.dta,ea_id;saq07,"PSU, cluster, or enumeration area identifier for variance/clustering","inspect raw values, labels, merge keys, units, recall period, and missing codes before harmonization",raw_files_not_present,raw_variable_catalog_absent,blocked_raw_file_missing,,,,,,,,,
2,priority_10_wave_batch,Ethiopia,Socioeconomic Survey 2018-2019,2018-2019,ETH_2018_ESS_v04_M,shocks_or_livelihood,mechanisms_and_heterogeneity,0,0,0,metadata_supported_raw_unverified,59,325,ETH_HouseholdGeovariables_Y4.dta;sect06_com_w4.dta;sect15a_hh_w4.dta;sect15b_hh_w4.dta;sect3_pp_w4.dta;sect5_pp_w4.dta;sect5a_hh_w4.dta;sect7_pp_w4.dta;sect8_hh_w4.dta;sect9_hh_w4.dta,anntot_avg;h2018_tot;h2018_wetQ;h2019_tot;h2019_wetQ;wetQ_avg;cs6q17c;cs6q18c;s15q01;s15q11;s15q13;s15q14;s15q15_1;s15q15_2;s15q16;loan_id,"shock, agriculture/livelihood, coping, or food-insecurity variable","inspect raw values, labels, merge keys, units, recall period, and missing codes before harmonization",raw_files_not_present,raw_variable_catalog_absent,blocked_raw_file_missing,,,,,,,,,
2,priority_10_wave_batch,Ethiopia,Socioeconomic Survey 2018-2019,2018-2019,ETH_2018_ESS_v04_M,strata,survey_design_robustness,0,0,1,metadata_supported_raw_unverified,5,0,sect8_3_ls_w4.dta;sect9_hh_w4.dta,ls_s8_3q01;ls_s8_3q02;s9q04_1;s9q04_2;s9q04_3,strata identifier if survey design requires it,"inspect raw values, labels, merge keys, units, recall period, and missing codes before harmonization",raw_files_not_present,raw_variable_catalog_absent,blocked_raw_file_missing,,,,,,,,,
2,priority_10_wave_batch,Ethiopia,Socioeconomic Survey 2018-2019,2018-2019,ETH_2018_ESS_v04_M,survey_timing,main_financial_sample,1,0,1,metadata_supported_raw_unverified,4,0,sect_cover_hh_w4.dta;sect_cover_ls_w4.dta;sect_cover_ph_w4.dta;sect_cover_pp_w4.dta,InterviewStart;InterviewDate,interview date/month or documented fieldwork month for climate lags,"inspect raw values, labels, merge keys, units, recall period, and missing codes before harmonization",raw_files_not_present,raw_variable_catalog_absent,blocked_raw_file_missing,,,,,,,,,
2,priority_10_wave_batch,Ethiopia,Socioeconomic Survey 2018-2019,2018-2019,ETH_2018_ESS_v04_M,survey_weight,main_financial_sample,1,0,1,metadata_supported_raw_unverified,56,0,cons_agg_w4.dta;sect10_ph_w4.dta;sect10a_hh_w4.dta;sect10b_com_w4.dta;sect10b_hh_w4.dta;sect10c_hh_w4.dta;sect10d1_hh_w4.dta;sect10d2_hh_w4.dta;sect11_hh_w4.dta;sect11_ph_w4.dta,pw_w4;cs10bq04;s3q37;s3q38;sccq03;sccq04,household or person survey weight appropriate to the outcome unit,"inspect raw values, labels, merge keys, units, recall period, and missing codes before harmonization",raw_files_not_present,raw_variable_catalog_absent,blocked_raw_file_missing,,,,,,,,,
2,priority_10_wave_batch,Ethiopia,Socioeconomic Survey 2018-2019,2018-2019,ETH_2018_ESS_v04_M,total_consumption_or_income,main_financial_sample,1,0,0,metadata_supported_raw_unverified,2,0,sect8_2_ls_w4.dta,ls_s8_2q14;ls_s8_2q18,survey-team aggregate preferred; otherwise documented reconstruction components,"inspect raw values, labels, merge keys, units, recall period, and missing codes before harmonization",raw_files_not_present,raw_variable_catalog_absent,blocked_raw_file_missing,,,,,,,,,
3,priority_10_wave_batch,Malawi,"Marriage Transitions in Malawi 2007-2009, Panel Data",2007-2009,MWI_2007-2009_MTM_v01_M,care_or_barrier,double_failure_sample,0,1,0,metadata_supported_raw_unverified,26,1,hh2_cmty;hh2_mkts_hlthfac;hh2_mkts_location;hh3_cmty;mkts_hlthfac;mkts_location;hh3_vct,ccq42_n;ccq42_u;ccq44_n;ccq44_u;ccq47_n;ccq47_u;hlth_id;hlth_dist1;hlth_dist1u;hlth_dist2;hlth_dist2u;hlth_dist3;hlth_dist3u;hlth_dist4;hlth_dist4u;hlth_id1,care-seeking or reason/barrier for not seeking care,"inspect raw values, labels, merge keys, units, recall period, and missing codes before harmonization",raw_files_not_present,raw_variable_catalog_absent,blocked_raw_file_missing,,,,,,,,,
3,priority_10_wave_batch,Malawi,"Marriage Transitions in Malawi 2007-2009, Panel Data",2007-2009,MWI_2007-2009_MTM_v01_M,climate_geography,main_financial_sample,1,0,1,metadata_supported_raw_unverified,12,34,hh2_mkts_hlthfac;hh2p2_cs;pi_cs;ptrack_public;hh2_cmty;hh2_vct;hh2p2_s10;hh2p2_s12;hh2p3_s15;hh3_market_mids,cq5e1;cq5e2;cq5e3;cq5s1;cq5s2;cq5s3;district;dis_hh2;dis_hh3;dis_pi1;dis_pi2;cdq19;s1q11c;s10q09;s12q25e;s15q18,"admin geography, cluster, or GPS quality sufficient for climate linkage","inspect raw values, labels, merge keys, units, recall period, and missing codes before harmonization",raw_files_not_present,raw_variable_catalog_absent,blocked_raw_file_missing,,,,,,,,,
3,priority_10_wave_batch,Malawi,"Marriage Transitions in Malawi 2007-2009, Panel Data",2007-2009,MWI_2007-2009_MTM_v01_M,demographics,covariates_and_subgroups,0,0,0,metadata_supported_raw_unverified,481,4,hh2_cmty;hh2_mortality;hh2_tf;hh2_vct;hh2p1_s1;hh2p1_s5;hh2p1_s8;hh2p2_cs;hh2p2_s10;hh2p2_s11,caq14;caq16_l;caq16_y;ccq53_d;ccq72_c;cdq09;cdq10_n;cdq10_u;cdq11;cdq12;cdq13_n;cdq13_u;cdq14;mq01d;mq01e;tfq1d,age/sex/education/household structure/assets for adjustment and heterogeneity,"inspect raw values, labels, merge keys, units, recall period, and missing codes before harmonization",raw_files_not_present,raw_variable_catalog_absent,blocked_raw_file_missing,,,,,,,,,
3,priority_10_wave_batch,Malawi,"Marriage Transitions in Malawi 2007-2009, Panel Data",2007-2009,MWI_2007-2009_MTM_v01_M,health_need,double_failure_sample,0,1,0,metadata_supported_raw_unverified,110,0,hh2_mortality;hh2_vct;hh2p1_s8;hh2p2_s10;hh2p2_s11;hh2p3_s16;hh2p3_s17;hh3_mortality;hh3_vct;hh3p1_s8,mq04;mq06_1;mq06_1_s;mq06_2;mq06_2_s;mq09a;mq09b;mq09c;mq15;s1q4g;s2q17f;s8q09;s8q10;s8q10_s;s8q11a;s8q11a_s,"illness, injury, symptom, or other health-need denominator","inspect raw values, labels, merge keys, units, recall period, and missing codes before harmonization",raw_files_not_present,raw_variable_catalog_absent,blocked_raw_file_missing,,,,,,,,,
3,priority_10_wave_batch,Malawi,"Marriage Transitions in Malawi 2007-2009, Panel Data",2007-2009,MWI_2007-2009_MTM_v01_M,household_id,harmonization,0,0,1,metadata_supported_raw_unverified,94,0,hh2p1_cs;hh2p1_s1;hh2p1_s2;hh2p1_s3;hh2p1_s4;hh2p1_s5;hh2p1_s6;hh2p1_s7;hh2p1_s8;hh2p2_cs,hhid;ea;hhid_pi1;hhid_pi2;hhid_r2;hhid_r3,household identifier available for module merges,"inspect raw values, labels, merge keys, units, recall period, and missing codes before harmonization",raw_files_not_present,raw_variable_catalog_absent,blocked_raw_file_missing,,,,,,,,,
3,priority_10_wave_batch,Malawi,"Marriage Transitions in Malawi 2007-2009, Panel Data",2007-2009,MWI_2007-2009_MTM_v01_M,insurance,covariates_and_subgroups,0,0,0,missing_from_metadata,0,0,,,"insurance or coverage variable, if available","inspect raw values, labels, merge keys, units, recall period, and missing codes before harmonization",no_candidate_file_metadata,no_candidate_variable_metadata,blocked_missing_metadata_candidate,,,,,,,,,
3,priority_10_wave_batch,Malawi,"Marriage Transitions in Malawi 2007-2009, Panel Data",2007-2009,MWI_2007-2009_MTM_v01_M,oop_health_expenditure,main_financial_sample,1,0,0,metadata_supported_raw_unverified,3,6,hh2p2_s9;hh2p3_s16;p2_s10;hh2p2_s11;hh2p3_s17;p2_s11,s9q22b;s16q35b;s10q35b;s11q13;s11q16;s17q13;s17q16,out-of-pocket health spending amount with unit and recall period,"inspect raw values, labels, merge keys, units, recall period, and missing codes before harmonization",raw_files_not_present,raw_variable_catalog_absent,blocked_raw_file_missing,,,,,,,,,
3,priority_10_wave_batch,Malawi,"Marriage Transitions in Malawi 2007-2009, Panel Data",2007-2009,MWI_2007-2009_MTM_v01_M,psu_cluster,survey_design_robustness,0,0,1,metadata_supported_raw_unverified,129,0,hh2_mkts_location;hh2_tf;hh2p1_cs;hh2p1_s1;hh2p1_s2;hh2p1_s3;hh2p1_s4;hh2p1_s5;hh2p1_s6;hh2p1_s7,q7_1;q7_10;q7_11;q7_12;q7_13;q7_14;q7_15;q7_16;q7_17;q7_2;q7_3;q7_4;q7_5;q7_6;q7_7;q7_8,"PSU, cluster, or enumeration area identifier for variance/clustering","inspect raw values, labels, merge keys, units, recall period, and missing codes before harmonization",raw_files_not_present,raw_variable_catalog_absent,blocked_raw_file_missing,,,,,,,,,
3,priority_10_wave_batch,Malawi,"Marriage Transitions in Malawi 2007-2009, Panel Data",2007-2009,MWI_2007-2009_MTM_v01_M,shocks_or_livelihood,mechanisms_and_heterogeneity,0,0,0,metadata_supported_raw_unverified,71,45,hh2_cmty;hh2p1_s5;hh2p2_s10;hh2p3_s16;hh3_cmty;hh3p1_s5;hh3p2_s10;hh3p2_s12c;hh3p3_s15;hh3p3_s18c,ccq66;ccq67_n;ccq67_u;ceq11;ceq12;ceq13;s5q01;s5q01_s;s5q02;s5q04;s5q05;s5q06a;s5q06b;s5q07a;s5q07b;s5q07c,"shock, agriculture/livelihood, coping, or food-insecurity variable","inspect raw values, labels, merge keys, units, recall period, and missing codes before harmonization",raw_files_not_present,raw_variable_catalog_absent,blocked_raw_file_missing,,,,,,,,,
3,priority_10_wave_batch,Malawi,"Marriage Transitions in Malawi 2007-2009, Panel Data",2007-2009,MWI_2007-2009_MTM_v01_M,strata,survey_design_robustness,0,0,1,missing_from_metadata,0,0,,,strata identifier if survey design requires it,"inspect raw values, labels, merge keys, units, recall period, and missing codes before harmonization",no_candidate_file_metadata,no_candidate_variable_metadata,blocked_missing_metadata_candidate,,,,,,,,,
3,priority_10_wave_batch,Malawi,"Marriage Transitions in Malawi 2007-2009, Panel Data",2007-2009,MWI_2007-2009_MTM_v01_M,survey_timing,main_financial_sample,1,0,1,metadata_supported_raw_unverified,10,0,hh2_mortality;hh2_tf;hh3_health;hh3_market_mids,mq25c;tfq6_c1;tfq6_c2;tfq6_c3;hq03_d;hq03_m;hq03_y;mq03_d;mq03_m;mq03_y,interview date/month or documented fieldwork month for climate lags,"inspect raw values, labels, merge keys, units, recall period, and missing codes before harmonization",raw_files_not_present,raw_variable_catalog_absent,blocked_raw_file_missing,,,,,,,,,
3,priority_10_wave_batch,Malawi,"Marriage Transitions in Malawi 2007-2009, Panel Data",2007-2009,MWI_2007-2009_MTM_v01_M,survey_weight,main_financial_sample,1,0,1,metadata_supported_raw_unverified,6,0,hh2_mortality;hh3_mortality;pi_mortality,mq18;mq19;d18;d19,household or person survey weight appropriate to the outcome unit,"inspect raw values, labels, merge keys, units, recall period, and missing codes before harmonization",raw_files_not_present,raw_variable_catalog_absent,blocked_raw_file_missing,,,,,,,,,
3,priority_10_wave_batch,Malawi,"Marriage Transitions in Malawi 2007-2009, Panel Data",2007-2009,MWI_2007-2009_MTM_v01_M,total_consumption_or_income,main_financial_sample,1,0,0,metadata_supported_raw_unverified,6,0,hh2p1_s4;p1_s4,s4q03;s4q03u;s4q03u_s,survey-team aggregate preferred; otherwise documented reconstruction components,"inspect raw values, labels, merge keys, units, recall period, and missing codes before harmonization",raw_files_not_present,raw_variable_catalog_absent,blocked_raw_file_missing,,,,,,,,,
4,priority_10_wave_batch,Nigeria,"General Household Survey, Panel  2012-2013, Wave 2",2012-2013,NGA_2012_GHSP-W2_v02_M,care_or_barrier,double_failure_sample,0,1,0,metadata_supported_raw_unverified,18,0,sect4a_harvestw2,s4aq10;s4aq11a;s4aq11b;s4aq12a;s4aq12b;s4aq15;s4aq16;s4aq17;s4aq20;s4aq7a;s4aq7b;s4aq7c;s4aq8a;s4aq8b;s4aq8c;s4aq9,care-seeking or reason/barrier for not seeking care,"inspect raw values, labels, merge keys, units, recall period, and missing codes before harmonization",raw_files_not_present,raw_variable_catalog_absent,blocked_raw_file_missing,,,,,,,,,
4,priority_10_wave_batch,Nigeria,"General Household Survey, Panel  2012-2013, Wave 2",2012-2013,NGA_2012_GHSP-W2_v02_M,climate_geography,main_financial_sample,1,0,1,metadata_supported_raw_unverified,6,0,NGA_HouseholdGeovars_Y2;NGA_PlotGeovariables_Y2;sect11a1_plantingw2;secta1_harvestw2,LAT_DD_MOD;LON_DD_MOD;qa_type;plot_qa_type;s11aq4c;sa1q9c,"admin geography, cluster, or GPS quality sufficient for climate linkage","inspect raw values, labels, merge keys, units, recall period, and missing codes before harmonization",raw_files_not_present,raw_variable_catalog_absent,blocked_raw_file_missing,,,,,,,,,
