acquisition_batch_rank,batch_role,country,wave,idno,promoted_dataset_layer,output_column,output_role,required_for_final_dataset,source_concepts,expected_level,derivation_type,candidate_variable_rows,high_confidence_candidate_rows,candidate_files,candidate_raw_variables,manual_verified_variable_rows,concept_manual_statuses,raw_receipt_status,climate_linkage_gate_status,registry_analysis_ready_status,current_synthesis_status,blocking_reason,post_raw_synthesis_action
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,admin1,geo_key,recommended,climate_geography,cluster_or_admin,raw_variable,0,0,,,0,climate_geography:blocked_source_gate_not_ready,not_received_no_original_raw_package,blocked_raw_timing_geography_not_verified_sources_ready,not_promoted,blocked_raw_package_absent,complete original raw package absent,"Place complete unchanged official raw package and documentation, then rerun receipt, schema, archive, and manual verification gates."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,admin2,geo_key,recommended,climate_geography,cluster_or_admin,raw_variable,0,0,,,0,climate_geography:blocked_source_gate_not_ready,not_received_no_original_raw_package,blocked_raw_timing_geography_not_verified_sources_ready,not_promoted,blocked_raw_package_absent,complete original raw package absent,"Place complete unchanged official raw package and documentation, then rerun receipt, schema, archive, and manual verification gates."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,cluster_id,geo_key,yes,climate_geography,cluster_or_admin,raw_variable,0,0,,,0,climate_geography:blocked_source_gate_not_ready,not_received_no_original_raw_package,blocked_raw_timing_geography_not_verified_sources_ready,not_promoted,blocked_raw_package_absent,complete original raw package absent,"Place complete unchanged official raw package and documentation, then rerun receipt, schema, archive, and manual verification gates."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,latitude,geo_key,recommended,climate_geography,cluster_or_admin,raw_variable,0,0,,,0,climate_geography:blocked_source_gate_not_ready,not_received_no_original_raw_package,blocked_raw_timing_geography_not_verified_sources_ready,not_promoted,blocked_raw_package_absent,complete original raw package absent,"Place complete unchanged official raw package and documentation, then rerun receipt, schema, archive, and manual verification gates."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,longitude,geo_key,recommended,climate_geography,cluster_or_admin,raw_variable,0,0,,,0,climate_geography:blocked_source_gate_not_ready,not_received_no_original_raw_package,blocked_raw_timing_geography_not_verified_sources_ready,not_promoted,blocked_raw_package_absent,complete original raw package absent,"Place complete unchanged official raw package and documentation, then rerun receipt, schema, archive, and manual verification gates."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,geolocation_quality,geo_qc,yes,climate_geography,cluster_or_admin,raw_variable,0,0,,,0,climate_geography:blocked_source_gate_not_ready,not_received_no_original_raw_package,blocked_raw_timing_geography_not_verified_sources_ready,not_promoted,blocked_raw_package_absent,complete original raw package absent,"Place complete unchanged official raw package and documentation, then rerun receipt, schema, archive, and manual verification gates."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_geography,rural,geo_covariate,recommended,climate_geography,household_or_cluster,raw_variable,2,2,eth_householdgeovariables_y5.dta;eth_plotgeovariables_y5.dta,pct_urban_center; pct_urban_cluster,0,climate_geography:blocked_source_gate_not_ready,not_received_no_original_raw_package,blocked_raw_timing_geography_not_verified_sources_ready,not_promoted,blocked_raw_package_absent,complete original raw package absent,"Place complete unchanged official raw package and documentation, then rerun receipt, schema, archive, and manual verification gates."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,financial_inputs,total_consumption,financial_denominator,yes,total_consumption_or_income,household,raw_variable,0,0,,,0,total_consumption_or_income:blocked_source_gate_not_ready,not_received_no_original_raw_package,blocked_raw_timing_geography_not_verified_sources_ready,not_promoted,blocked_raw_package_absent,complete original raw package absent,"Place complete unchanged official raw package and documentation, then rerun receipt, schema, archive, and manual verification gates."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,financial_inputs,total_income,financial_denominator,recommended,total_consumption_or_income,household,raw_variable,0,0,,,0,total_consumption_or_income:blocked_source_gate_not_ready,not_received_no_original_raw_package,blocked_raw_timing_geography_not_verified_sources_ready,not_promoted,blocked_raw_package_absent,complete original raw package absent,"Place complete unchanged official raw package and documentation, then rerun receipt, schema, archive, and manual verification gates."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,financial_inputs,food_consumption,financial_denominator_component,recommended,total_consumption_or_income,household,raw_variable,0,0,,,0,total_consumption_or_income:blocked_source_gate_not_ready,not_received_no_original_raw_package,blocked_raw_timing_geography_not_verified_sources_ready,not_promoted,blocked_raw_package_absent,complete original raw package absent,"Place complete unchanged official raw package and documentation, then rerun receipt, schema, archive, and manual verification gates."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,financial_inputs,nonfood_consumption,financial_denominator_component,recommended,total_consumption_or_income,household,raw_variable,0,0,,,0,total_consumption_or_income:blocked_source_gate_not_ready,not_received_no_original_raw_package,blocked_raw_timing_geography_not_verified_sources_ready,not_promoted,blocked_raw_package_absent,complete original raw package absent,"Place complete unchanged official raw package and documentation, then rerun receipt, schema, archive, and manual verification gates."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,financial_inputs,oop_health_expenditure,financial_numerator,yes,oop_health_expenditure,household_or_person,raw_variable,16,1,sect3_hh_w5.dta;sect3_pp_w5.dta; sect8_3_ls_w5.dta,s3q18; ls_s8_3q04; ls_s8_3q06; ls_s8_3q10a; ls_s8_3q10b; ls_s8_3q11; ls_s8_3q12_1; ls_s8_3q12_2; ls_s8_3q14; ls_s8_3q17_1; ls_s8_3q17_10; ls_s8_3q17_11; ls_s8_3q17_2; ls_s8_3q17_3; ls_s8_3q17_4; ls_s8_3q17_5,0,oop_health_expenditure:blocked_source_gate_not_ready,not_received_no_original_raw_package,blocked_raw_timing_geography_not_verified_sources_ready,not_promoted,blocked_raw_package_absent,complete original raw package absent,"Place complete unchanged official raw package and documentation, then rerun receipt, schema, archive, and manual verification gates."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,financial_outcomes,che10,derived_outcome,yes,oop_health_expenditure;total_consumption_or_income,household,derived_from_verified_inputs,18,3,sect3_hh_w5.dta;sect3_pp_w5.dta; sect8_3_ls_w5.dta; sect8_2_ls_w5.dta,s3q18; ls_s8_3q04; ls_s8_3q06; ls_s8_3q10a; ls_s8_3q10b; ls_s8_3q11; ls_s8_3q12_1; ls_s8_3q12_2; ls_s8_3q14; ls_s8_3q17_1; ls_s8_3q17_10; ls_s8_3q17_11; ls_s8_3q17_2; ls_s8_3q17_3; ls_s8_3q17_4; ls_s8_3q17_5; ls_s8_2q14; ls_s8_2q18,0,oop_health_expenditure:blocked_source_gate_not_ready; total_consumption_or_income:blocked_source_gate_not_ready,not_received_no_original_raw_package,blocked_raw_timing_geography_not_verified_sources_ready,not_promoted,blocked_raw_package_absent,complete original raw package absent,"Place complete unchanged official raw package and documentation, then rerun receipt, schema, archive, and manual verification gates."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,financial_outcomes,che25,derived_outcome,yes,oop_health_expenditure;total_consumption_or_income,household,derived_from_verified_inputs,18,3,sect3_hh_w5.dta;sect3_pp_w5.dta; sect8_3_ls_w5.dta; sect8_2_ls_w5.dta,s3q18; ls_s8_3q04; ls_s8_3q06; ls_s8_3q10a; ls_s8_3q10b; ls_s8_3q11; ls_s8_3q12_1; ls_s8_3q12_2; ls_s8_3q14; ls_s8_3q17_1; ls_s8_3q17_10; ls_s8_3q17_11; ls_s8_3q17_2; ls_s8_3q17_3; ls_s8_3q17_4; ls_s8_3q17_5; ls_s8_2q14; ls_s8_2q18,0,oop_health_expenditure:blocked_source_gate_not_ready; total_consumption_or_income:blocked_source_gate_not_ready,not_received_no_original_raw_package,blocked_raw_timing_geography_not_verified_sources_ready,not_promoted,blocked_raw_package_absent,complete original raw package absent,"Place complete unchanged official raw package and documentation, then rerun receipt, schema, archive, and manual verification gates."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,financial_outcomes,sdg382_indicator,derived_outcome,yes,oop_health_expenditure;total_consumption_or_income,household,derived_from_verified_inputs,18,3,sect3_hh_w5.dta;sect3_pp_w5.dta; sect8_3_ls_w5.dta; sect8_2_ls_w5.dta,s3q18; ls_s8_3q04; ls_s8_3q06; ls_s8_3q10a; ls_s8_3q10b; ls_s8_3q11; ls_s8_3q12_1; ls_s8_3q12_2; ls_s8_3q14; ls_s8_3q17_1; ls_s8_3q17_10; ls_s8_3q17_11; ls_s8_3q17_2; ls_s8_3q17_3; ls_s8_3q17_4; ls_s8_3q17_5; ls_s8_2q14; ls_s8_2q18,0,oop_health_expenditure:blocked_source_gate_not_ready; total_consumption_or_income:blocked_source_gate_not_ready,not_received_no_original_raw_package,blocked_raw_timing_geography_not_verified_sources_ready,not_promoted,blocked_raw_package_absent,complete original raw package absent,"Place complete unchanged official raw package and documentation, then rerun receipt, schema, archive, and manual verification gates."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,access_inputs,illness_or_injury_need,need_denominator,yes,health_need,person_or_household,raw_variable,9,9,sect3_hh_w5.dta,s3q05; s3q06_1; s3q06_2; s3q06_os; s3q07; s3q09a; s3q09b; s3q10a; s3q10b,0,health_need:blocked_source_gate_not_ready,not_received_no_original_raw_package,blocked_raw_timing_geography_not_verified_sources_ready,not_promoted,blocked_raw_package_absent,complete original raw package absent,"Place complete unchanged official raw package and documentation, then rerun receipt, schema, archive, and manual verification gates."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,access_inputs,care_sought,care_access,yes,care_or_barrier,person_or_household,raw_variable,11,10,sect04_com_w5.dta; sect3_hh_w5.dta; sect3_hh_w5.dta;sect3_pp_w5.dta; sect8_3_ls_w5.dta,cs4q37; s3q10a; s3q10b; s3q11; s3q12a; s3q12b; s3q16; s3q17; s3q18; ls_s8_3q23; ls_s8_3q24,0,care_or_barrier:blocked_source_gate_not_ready,not_received_no_original_raw_package,blocked_raw_timing_geography_not_verified_sources_ready,not_promoted,blocked_raw_package_absent,complete original raw package absent,"Place complete unchanged official raw package and documentation, then rerun receipt, schema, archive, and manual verification gates."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,access_inputs,care_not_sought,care_access,recommended,care_or_barrier,person_or_household,raw_variable,0,0,,,0,care_or_barrier:blocked_source_gate_not_ready,not_received_no_original_raw_package,blocked_raw_timing_geography_not_verified_sources_ready,not_promoted,blocked_raw_package_absent,complete original raw package absent,"Place complete unchanged official raw package and documentation, then rerun receipt, schema, archive, and manual verification gates."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,access_inputs,care_not_sought_reason,care_barrier,recommended,care_or_barrier,person_or_household,raw_variable,1,1,sect3_hh_w5.dta,s3q13,0,care_or_barrier:blocked_source_gate_not_ready,not_received_no_original_raw_package,blocked_raw_timing_geography_not_verified_sources_ready,not_promoted,blocked_raw_package_absent,complete original raw package absent,"Place complete unchanged official raw package and documentation, then rerun receipt, schema, archive, and manual verification gates."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,access_inputs,health_facility_distance,care_barrier,recommended,care_or_barrier,person_or_household,raw_variable,0,0,,,0,care_or_barrier:blocked_source_gate_not_ready,not_received_no_original_raw_package,blocked_raw_timing_geography_not_verified_sources_ready,not_promoted,blocked_raw_package_absent,complete original raw package absent,"Place complete unchanged official raw package and documentation, then rerun receipt, schema, archive, and manual verification gates."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,access_outcomes,forgone_care_access_failure,derived_outcome,yes,health_need;care_or_barrier,person_or_household,derived_from_verified_inputs,23,22,sect04_com_w5.dta; sect3_hh_w5.dta; sect3_hh_w5.dta;sect3_pp_w5.dta; sect8_3_ls_w5.dta,cs4q28; cs4q30; cs4q37; s3q10a; s3q10b; s3q11; s3q12a; s3q12b; s3q13; s3q16; s3q17; s3q18; ls_s8_3q23; ls_s8_3q24; s3q05; s3q06_1; s3q06_2; s3q06_os; s3q07; s3q09a,0,health_need:blocked_source_gate_not_ready; care_or_barrier:blocked_source_gate_not_ready,not_received_no_original_raw_package,blocked_raw_timing_geography_not_verified_sources_ready,not_promoted,blocked_raw_package_absent,complete original raw package absent,"Place complete unchanged official raw package and documentation, then rerun receipt, schema, archive, and manual verification gates."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,access_outcomes,double_failure_indicator,derived_outcome,yes,oop_health_expenditure;total_consumption_or_income;health_need;care_or_barrier,household,derived_from_verified_inputs,41,25,sect04_com_w5.dta; sect3_hh_w5.dta; sect3_hh_w5.dta;sect3_pp_w5.dta; sect8_3_ls_w5.dta; sect8_2_ls_w5.dta,cs4q28; cs4q30; cs4q37; s3q10a; s3q10b; s3q11; s3q12a; s3q12b; s3q13; s3q16; s3q17; s3q18; ls_s8_3q23; ls_s8_3q24; s3q05; s3q06_1; s3q06_2; s3q06_os; s3q07; s3q09a,0,oop_health_expenditure:blocked_source_gate_not_ready; total_consumption_or_income:blocked_source_gate_not_ready; health_need:blocked_source_gate_not_ready; care_or_barrier:blocked_source_gate_not_ready,not_received_no_original_raw_package,blocked_raw_timing_geography_not_verified_sources_ready,not_promoted,blocked_raw_package_absent,complete original raw package absent,"Place complete unchanged official raw package and documentation, then rerun receipt, schema, archive, and manual verification gates."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_linked,climate_source,climate_metadata,yes,survey_timing;climate_geography,household_or_cluster,derived_from_verified_linkage,17,17,cons_agg_w5.dta;sect01a_com_w5.dta;sect01b_com_w5.dta;sect02_com_w5.dta;sect03_com_w5.dta;sect04_com_w5.dta;sect05_com_w5.dta;sect06_com_w5.dta;sect07_com_w5.dta;sect08_com_w5.dta;sect09_com_w5.dta;sect10_ph_w5.dta;sect10a_com_w5.dta;sect10a_hh_w5.dta;sect11_com_w5.dta;sect11_hh_w5.dta;sect11_ph_w5.dta;sect12_com_w5.dta;sect12a_hh_w5.dta;sect12b1_hh_w5.dta; eth_householdgeovariables_y5.dta;eth_plotgeovariables_y5.dta; sect10a_com_w5.dta; sect_cover_ls_w5.dta;sect_cover_ph_w5.dta;sect_cover_pp_w5.dta,saq01; cropshare; dist_admhq; landcov; lat_dd_mod; lon_dd_mod; pct_urban_center; pct_urban_cluster; ssa_aez09; suppress; twi_ne; cs10q05__Accuracy; cs10q05__Altitude; cs10q05__Latitude; cs10q05__Longitude; cs10q05__Timestamp; InterviewDate,0,survey_timing:blocked_source_gate_not_ready; climate_geography:blocked_source_gate_not_ready,not_received_no_original_raw_package,blocked_raw_timing_geography_not_verified_sources_ready,not_promoted,blocked_raw_package_absent,complete original raw package absent,"Place complete unchanged official raw package and documentation, then rerun receipt, schema, archive, and manual verification gates."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_linked,climate_window_start,climate_window,yes,survey_timing,household_or_cluster,derived_from_verified_timing,1,1,sect_cover_ls_w5.dta;sect_cover_ph_w5.dta;sect_cover_pp_w5.dta,InterviewDate,0,survey_timing:blocked_source_gate_not_ready,not_received_no_original_raw_package,blocked_raw_timing_geography_not_verified_sources_ready,not_promoted,blocked_raw_package_absent,complete original raw package absent,"Place complete unchanged official raw package and documentation, then rerun receipt, schema, archive, and manual verification gates."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_linked,climate_window_end,climate_window,yes,survey_timing,household_or_cluster,derived_from_verified_timing,1,1,sect_cover_ls_w5.dta;sect_cover_ph_w5.dta;sect_cover_pp_w5.dta,InterviewDate,0,survey_timing:blocked_source_gate_not_ready,not_received_no_original_raw_package,blocked_raw_timing_geography_not_verified_sources_ready,not_promoted,blocked_raw_package_absent,complete original raw package absent,"Place complete unchanged official raw package and documentation, then rerun receipt, schema, archive, and manual verification gates."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_linked,chirps_precip_anomaly,climate_exposure,yes,survey_timing;climate_geography,household_or_cluster,derived_from_chirps,17,17,cons_agg_w5.dta;sect01a_com_w5.dta;sect01b_com_w5.dta;sect02_com_w5.dta;sect03_com_w5.dta;sect04_com_w5.dta;sect05_com_w5.dta;sect06_com_w5.dta;sect07_com_w5.dta;sect08_com_w5.dta;sect09_com_w5.dta;sect10_ph_w5.dta;sect10a_com_w5.dta;sect10a_hh_w5.dta;sect11_com_w5.dta;sect11_hh_w5.dta;sect11_ph_w5.dta;sect12_com_w5.dta;sect12a_hh_w5.dta;sect12b1_hh_w5.dta; eth_householdgeovariables_y5.dta;eth_plotgeovariables_y5.dta; sect10a_com_w5.dta; sect_cover_ls_w5.dta;sect_cover_ph_w5.dta;sect_cover_pp_w5.dta,saq01; cropshare; dist_admhq; landcov; lat_dd_mod; lon_dd_mod; pct_urban_center; pct_urban_cluster; ssa_aez09; suppress; twi_ne; cs10q05__Accuracy; cs10q05__Altitude; cs10q05__Latitude; cs10q05__Longitude; cs10q05__Timestamp; InterviewDate,0,survey_timing:blocked_source_gate_not_ready; climate_geography:blocked_source_gate_not_ready,not_received_no_original_raw_package,blocked_raw_timing_geography_not_verified_sources_ready,not_promoted,blocked_raw_package_absent,complete original raw package absent,"Place complete unchanged official raw package and documentation, then rerun receipt, schema, archive, and manual verification gates."
1,priority_10_wave_batch,Ethiopia,2021-2022,ETH_2021_ESPS-W5_v02_M,climate_linked,era5_heat_anomaly,climate_exposure,yes,survey_timing;climate_geography,household_or_cluster,derived_from_era5,17,17,cons_agg_w5.dta;sect01a_com_w5.dta;sect01b_com_w5.dta;sect02_com_w5.dta;sect03_com_w5.dta;sect04_com_w5.dta;sect05_com_w5.dta;sect06_com_w5.dta;sect07_com_w5.dta;sect08_com_w5.dta;sect09_com_w5.dta;sect10_ph_w5.dta;sect10a_com_w5.dta;sect10a_hh_w5.dta;sect11_com_w5.dta;sect11_hh_w5.dta;sect11_ph_w5.dta;sect12_com_w5.dta;sect12a_hh_w5.dta;sect12b1_hh_w5.dta; eth_householdgeovariables_y5.dta;eth_plotgeovariables_y5.dta; sect10a_com_w5.dta; sect_cover_ls_w5.dta;sect_cover_ph_w5.dta;sect_cover_pp_w5.dta,saq01; cropshare; dist_admhq; landcov; lat_dd_mod; lon_dd_mod; pct_urban_center; pct_urban_cluster; ssa_aez09; suppress; twi_ne; cs10q05__Accuracy; cs10q05__Altitude; cs10q05__Latitude; cs10q05__Longitude; cs10q05__Timestamp; InterviewDate,0,survey_timing:blocked_source_gate_not_ready; climate_geography:blocked_source_gate_not_ready,not_received_no_original_raw_package,blocked_raw_timing_geography_not_verified_sources_ready,not_promoted,blocked_raw_package_absent,complete original raw package absent,"Place complete unchanged official raw package and documentation, then rerun receipt, schema, archive, and manual verification gates."
